spatial_unit,region_type,manual_score,entropy_score,pca_score,score_spread,manual_rank,entropy_rank,pca_rank
8731aa406ffffff,mixed_evening_area,79.62,75.77,29.06,50.56,45,27,78
8731aa50effffff,nightlife_core,79.54,75.2,41.2,38.34,46,73,48
8731aa543ffffff,mixed_evening_area,79.51,75.16,32.0,47.510000000000005,47,76,74
8731aa429ffffff,nightlife_core,79.5,75.48,100.0,24.519999999999996,48,52,1
8731aa55cffffff,nightlife_core,79.48,75.69,64.32,15.16000000000001,49,32,13
8731aa425ffffff,nightlife_core,79.44,75.34,72.66,6.780000000000001,50,62,9
8731aa461ffffff,mixed_evening_area,79.4,75.9,31.11,48.290000000000006,51,22,76
8731aa404ffffff,nightlife_core,79.4,75.63,62.89,16.510000000000005,51,34,15
8731aa50bffffff,nightlife_core,79.36,75.37,40.73,38.63,53,60,50
8731aa466ffffff,nightlife_core,79.34,75.57,55.94,23.400000000000006,54,40,22
8731aa423ffffff,nightlife_core,79.3,75.02,74.48,4.819999999999993,55,84,8
8731aa55effffff,nightlife_core,79.19,75.45,74.6,4.590000000000003,56,54,6
8731aa509ffffff,nightlife_core,79.16,75.21,49.66,29.5,57,72,31
8731aa540ffffff,mixed_evening_area,79.11,74.82,25.28,53.83,58,92,89
8731aa46cffffff,mixed_evening_area,79.04,75.62,20.5,58.540000000000006,59,36,109
8731aa424ffffff,nightlife_core,79.01,75.26,38.04,40.970000000000006,60,70,59
8731aa464ffffff,mixed_evening_area,78.92,75.28,24.93,53.99,61,66,90
8731aa551ffffff,nightlife_core,78.91,75.56,56.54,22.369999999999997,62,41,21
8731aa470ffffff,nightlife_core,78.89,75.17,65.03,13.86,63,74,12
8731aa42effffff,nightlife_core,78.86,75.0,63.59,15.269999999999996,64,85,14
8731aa518ffffff,mixed_evening_area,78.83,75.16,23.83,55.0,65,76,95
8731aa553ffffff,nightlife_core,78.82,75.27,48.52,30.29999999999999,66,67,32
8731aa56bffffff,nightlife_core,78.77,76.04,34.16,44.61,67,15,70
8731aa463ffffff,mixed_evening_area,78.76,75.86,25.54,53.220000000000006,68,25,86
8731aa552ffffff,nightlife_core,78.69,75.13,45.03,33.66,69,79,41
8731aa54cffffff,nightlife_core,78.57,75.45,34.67,43.89999999999999,70,54,68
8731aa433ffffff,mixed_evening_area,78.52,75.61,32.89,45.629999999999995,71,38,72
8731aa554ffffff,nightlife_core,78.51,75.15,47.2,31.310000000000002,72,78,37
8731aa541ffffff,nightlife_core,78.4,75.35,45.61,32.790000000000006,73,61,38
8731aa444ffffff,mixed_evening_area,78.4,75.39,20.18,58.220000000000006,73,58,115
8731aa54effffff,nightlife_core,78.39,75.07,47.8,30.590000000000003,75,83,36
8731aa503ffffff,mixed_evening_area,78.39,74.55,22.34,56.05,75,104,104
8731aa51bffffff,nightlife_core,78.31,74.88,34.67,43.64,77,89,68
8731aa469ffffff,mixed_evening_area,78.26,74.99,20.46,57.800000000000004,78,87,111
8731aa436ffffff,mixed_evening_area,78.23,75.49,27.56,50.67,79,51,83
8731aa51affffff,mixed_evening_area,78.2,74.88,30.09,48.11,80,89,77
8731aa56affffff,mixed_evening_area,78.12,75.54,22.42,55.7,81,43,102
8731aa471ffffff,nightlife_core,78.03,75.0,39.83,38.2,82,85,54
8731aa473ffffff,nightlife_core,77.98,75.27,48.26,29.720000000000006,83,67,34
8731aa51cffffff,mixed_evening_area,77.87,74.62,28.82,49.050000000000004,84,101,79
8731aa420ffffff,nightlife_core,77.86,74.8,45.56,32.3,85,93,39
8731aa501ffffff,mixed_evening_area,77.85,74.33,23.71,54.13999999999999,86,108,96
8731aa41dffffff,mixed_evening_area,77.71,75.3,22.66,55.05,87,63,101
8731aa42affffff,nightlife_core,77.68,74.71,60.41,17.27000000000001,88,97,16
8731aa409ffffff,nightlife_core,77.63,75.54,54.74,22.889999999999993,89,43,24
8731aa405ffffff,nightlife_core,77.59,74.94,60.03,17.560000000000002,90,88,17
8731aa52cffffff,mixed_evening_area,77.37,73.71,19.34,58.03,91,118,119
8731aa521ffffff,mixed_evening_area,77.31,72.2,23.45,53.86,92,119,97
8731aa46effffff,mixed_evening_area,77.26,71.89,20.47,56.790000000000006,93,120,110
8731aa476ffffff,nightlife_core,77.24,74.8,59.61,17.629999999999995,94,93,18
8731aa460ffffff,nightlife_core,77.2,74.73,38.72,38.480000000000004,95,96,56
8731aa403ffffff,mixed_evening_area,77.13,74.62,27.76,49.36999999999999,96,101,82
8731aa408ffffff,nightlife_core,77.02,75.27,38.38,38.63999999999999,97,67,58
8731aa454ffffff,nightlife_core,77.0,74.52,32.56,44.44,98,105,73
8731aa42dffffff,nightlife_core,76.89,74.69,45.29,31.6,99,98,40
8731aa40effffff,nightlife_core,76.85,75.08,44.45,32.39999999999999,100,81,44
8731aa402ffffff,mixed_evening_area,76.84,74.18,19.99,56.85000000000001,101,114,117
8731aa40dffffff,nightlife_core,76.7,74.57,36.6,40.1,102,103,65
8731aa545ffffff,mixed_evening_area,76.66,74.23,24.69,51.97,103,112,92
8731aa54bffffff,mixed_evening_area,76.66,74.84,21.26,55.39999999999999,103,91,107
8731aa472ffffff,nightlife_core,76.59,74.33,41.19,35.400000000000006,105,108,49
8731aa528ffffff,mixed_evening_area,76.58,75.08,20.02,56.56,106,81,116
8731aa40affffff,mixed_evening_area,76.52,75.38,28.3,48.22,107,59,80
8731aa401ffffff,nightlife_core,76.52,74.79,50.0,26.519999999999996,107,95,30
8731aa432ffffff,mixed_evening_area,76.34,74.31,22.35,53.99,109,110,103
8731aa42bffffff,nightlife_core,76.28,74.18,38.62,37.660000000000004,110,114,57
8731aa414ffffff,mixed_evening_area,76.19,74.63,24.1,52.089999999999996,111,100,94
8731aa4d4ffffff,mixed_evening_area,76.08,76.64,18.32,58.32,112,5,126
8731aa468ffffff,mixed_evening_area,76.02,67.99,19.53,56.489999999999995,113,131,118
8731aa446ffffff,mixed_evening_area,75.97,74.29,24.76,51.209999999999994,114,111,91
8731aa400ffffff,nightlife_core,75.88,74.35,35.2,40.67999999999999,115,107,67
8731aa40bffffff,mixed_evening_area,75.71,75.17,25.42,50.28999999999999,116,74,87
8731aacd9ffffff,mixed_evening_area,75.65,69.38,18.9,56.75000000000001,117,126,122
8731aa40cffffff,nightlife_core,75.6,74.09,33.55,42.05,118,116,71
8731aa4ecffffff,mixed_evening_area,75.22,75.53,17.87,57.66,119,46,128
8731aa410ffffff,mixed_evening_area,74.9,74.06,20.33,54.57000000000001,120,117,114
8731aa0a6ffffff,mixed_evening_area,74.89,69.32,20.41,54.480000000000004,121,127,112
8731aa51effffff,mixed_evening_area,74.39,71.18,18.94,55.45,122,121,121
8731aa575ffffff,mixed_evening_area,74.1,68.1,19.18,54.919999999999995,123,130,120
8731aa4e0ffffff,mixed_evening_area,73.96,70.47,17.76,56.19999999999999,124,123,129
8731aa4e1ffffff,mixed_evening_area,73.73,74.65,18.16,56.49000000000001,125,99,127
8731aa5a8ffffff,mixed_evening_area,73.54,68.74,18.45,55.09,126,128,124
8731aa440ffffff,mixed_evening_area,73.13,69.95,17.41,55.72,127,124,132
8731aa5adffffff,mixed_evening_area,72.83,68.24,18.33,54.5,128,129,125
8731aa199ffffff,mixed_evening_area,72.79,70.73,21.83,50.96000000000001,129,122,106
8731aacd2ffffff,mixed_evening_area,72.37,66.52,18.58,53.790000000000006,130,132,123
8731aa456ffffff,mixed_evening_area,70.65,66.3,17.14,53.510000000000005,131,134,137
8731aa450ffffff,mixed_evening_area,70.26,66.34,17.15,53.11000000000001,132,133,136
8731aa734ffffff,mixed_evening_area,68.64,60.06,17.71,50.93,133,143,130
8731aa4e4ffffff,mixed_evening_area,68.51,63.92,16.97,51.540000000000006,134,137,138
8731aa46dffffff,mixed_evening_area,68.05,62.27,16.97,51.08,135,139,138
8731aa5aeffffff,mixed_evening_area,67.98,65.25,16.92,51.06,136,135,140
8731aa569ffffff,mixed_evening_area,67.59,64.84,17.18,50.410000000000004,137,136,135
8731aa465ffffff,mixed_evening_area,67.5,61.28,17.33,50.17,138,140,134
8731aaadaffffff,mixed_evening_area,66.6,74.2,16.62,57.58,139,113,143
8731aa5aaffffff,mixed_evening_area,66.16,60.52,16.83,49.33,140,141,141
8731aa5abffffff,mixed_evening_area,64.86,60.2,16.36,48.5,141,142,146
8731aa504ffffff,mixed_evening_area,64.16,57.14,16.78,47.379999999999995,142,146,142
8731aacd6ffffff,mixed_evening_area,63.93,56.13,17.39,46.54,143,150,133
8731aa030ffffff,mixed_evening_area,63.53,63.8,14.98,48.81999999999999,144,138,162
8731aa45bffffff,mixed_evening_area,63.07,57.02,17.57,45.5,145,147,131
8731aa411ffffff,mixed_evening_area,62.71,55.41,16.29,46.42,146,153,147
8731aa500ffffff,mixed_evening_area,61.89,54.49,16.59,45.3,147,155,144
8731aa5a3ffffff,mixed_evening_area,61.37,55.75,15.09,46.28,148,152,160
8731aa374ffffff,mixed_evening_area,61.05,69.71,13.59,56.11999999999999,149,125,186
8731aa198ffffff,mixed_evening_area,60.9,57.21,15.43,45.47,150,145,153
8731aa09affffff,mixed_evening_area,60.29,53.36,15.96,44.33,151,158,149
8731aa5a0ffffff,mixed_evening_area,59.65,56.77,14.58,45.07,152,148,168
8731aa722ffffff,mixed_evening_area,59.59,52.6,15.46,44.13,153,160,152
8731aa589ffffff,mixed_evening_area,59.36,53.67,15.32,44.04,154,156,156
8731aa4f2ffffff,mixed_evening_area,59.26,55.14,15.15,44.11,155,154,158
8731aa562ffffff,mixed_evening_area,59.05,50.46,16.59,42.459999999999994,156,163,144
8731aa52affffff,mixed_evening_area,58.77,49.13,16.28,42.49,157,170,148
8731aacd3ffffff,mixed_evening_area,58.12,50.19,15.77,42.349999999999994,158,166,150
8731aa033ffffff,mixed_evening_area,57.93,56.75,13.79,44.14,159,149,178
8731aa4f4ffffff,mixed_evening_area,57.85,51.41,15.07,42.78,160,162,161
8731aa455ffffff,mixed_evening_area,57.07,49.05,14.81,42.26,161,171,164
8731aa19affffff,mixed_evening_area,56.88,49.31,15.77,41.11,162,168,150
8731aacd0ffffff,mixed_evening_area,56.87,50.27,15.43,41.44,163,164,153
8731aa418ffffff,mixed_evening_area,55.98,49.25,15.18,40.8,164,169,157
8731aa4d6ffffff,mixed_evening_area,55.87,53.42,13.33,42.54,165,157,195
8731aa735ffffff,mixed_evening_area,55.24,45.84,14.6,40.64,166,177,167
8731aa4d0ffffff,mixed_evening_area,55.08,50.12,14.06,41.019999999999996,167,167,177
8731aa549ffffff,mixed_evening_area,54.8,46.57,15.39,39.41,168,176,155
8731aa453ffffff,mixed_evening_area,54.51,51.54,14.27,40.239999999999995,169,161,173
8731aa442ffffff,mixed_evening_area,54.28,45.15,15.1,39.18,170,181,159
8731aa092ffffff,mixed_evening_area,54.27,47.22,14.62,39.650000000000006,171,174,165
8731aa522ffffff,mixed_evening_area,53.61,50.25,14.41,39.2,172,165,170
8731aa599ffffff,mixed_evening_area,52.83,44.17,14.61,38.22,173,187,166
8731aa18dffffff,mixed_evening_area,52.58,46.61,13.77,38.81,174,175,179
8731aa588ffffff,mixed_evening_area,52.46,45.25,14.4,38.06,175,179,171
8731aa329ffffff,mixed_evening_area,52.06,57.34,11.5,45.84,176,144,231
873181948ffffff,mixed_evening_area,51.83,48.06,13.5,38.33,177,173,189
8731aacddffffff,mixed_evening_area,51.61,42.7,14.24,37.37,178,189,174
8731aa5a6ffffff,mixed_evening_area,51.48,44.25,13.63,37.849999999999994,179,184,184
8731aa563ffffff,mixed_evening_area,51.38,40.44,14.85,36.53,180,197,163
8731aa451ffffff,mixed_evening_area,51.38,45.46,13.42,37.96,180,178,193
8731aa443ffffff,mixed_evening_area,51.18,44.19,13.5,37.68,182,185,189
8731aa4e6ffffff,mixed_evening_area,50.91,43.13,13.54,37.37,183,188,187
8731aa54dffffff,mixed_evening_area,50.73,44.5,14.21,36.519999999999996,184,183,175
8731aa45affffff,mixed_evening_area,50.68,44.18,14.45,36.230000000000004,185,186,169
8731aa704ffffff,mixed_evening_area,50.58,45.2,13.32,37.26,186,180,196
8731aa523ffffff,mixed_evening_area,49.97,40.21,13.76,36.21,187,200,181
8731aa0b4ffffff,mixed_evening_area,49.81,39.72,13.67,36.14,188,202,183
8731aa41affffff,mixed_evening_area,49.77,40.74,14.16,35.61,189,195,176
8731aa4edffffff,mixed_evening_area,49.64,42.69,13.49,36.15,190,190,191
8731aa52dffffff,mixed_evening_area,49.52,40.38,14.33,35.190000000000005,191,199,172
8731aabb4ffffff,mixed_evening_area,49.45,55.83,11.22,44.61,192,151,240
8731aacd1ffffff,mixed_evening_area,49.24,41.28,13.37,35.870000000000005,193,194,194
8731aa489ffffff,mixed_evening_area,49.19,48.3,12.87,36.32,194,172,200
8731aa5a1ffffff,mixed_evening_area,48.99,42.25,13.48,35.510000000000005,195,193,192
8731aa096ffffff,mixed_evening_area,47.77,38.86,13.62,34.150000000000006,196,204,185
8731aa181ffffff,mixed_evening_area,47.65,38.41,13.2,34.45,197,207,199
8731aa452ffffff,mixed_evening_area,47.6,40.54,13.77,33.83,198,196,179
8731aa705ffffff,mixed_evening_area,47.55,42.65,12.72,34.83,199,192,202
8731aa034ffffff,mixed_evening_area,47.49,42.66,12.59,34.900000000000006,200,191,205
8731aa0b5ffffff,mixed_evening_area,47.4,40.42,13.28,34.12,201,198,197
8731aa723ffffff,mixed_evening_area,47.31,44.65,12.3,35.010000000000005,202,182,209
8731aa502ffffff,mixed_evening_area,46.72,38.45,13.54,33.18,203,206,187
8731aaccaffffff,mixed_evening_area,46.63,38.24,13.28,33.35,204,209,197
8731aaadbffffff,mixed_evening_area,46.18,53.08,10.45,42.629999999999995,205,159,261
8731aa59dffffff,mixed_evening_area,45.48,38.27,12.5,32.98,206,208,206
8731aa59bffffff,mixed_evening_area,45.46,36.79,12.04,33.42,207,214,213
8731aa58affffff,mixed_evening_area,45.4,36.48,12.69,32.71,208,217,203
8731aa090ffffff,mixed_evening_area,45.21,37.89,12.8,32.41,209,210,201
8731aa036ffffff,mixed_evening_area,45.12,38.97,11.73,33.39,210,203,226
87318194dffffff,mixed_evening_area,44.73,36.99,11.75,32.98,211,212,225
8731aa094ffffff,mixed_evening_area,44.51,39.95,11.96,32.55,212,201,219
87318194bffffff,mixed_evening_area,44.35,37.61,11.58,32.77,213,211,227
8731aa183ffffff,mixed_evening_area,43.89,35.98,11.93,31.96,214,220,220
8731aa731ffffff,mixed_evening_area,43.77,36.81,11.84,31.930000000000003,215,213,223
8731aa416ffffff,mixed_evening_area,43.44,35.63,12.28,31.159999999999997,216,223,210
8731aa419ffffff,mixed_evening_area,43.2,33.43,12.04,31.160000000000004,217,234,213
87318196dffffff,mixed_evening_area,43.0,36.79,11.97,31.03,218,214,218
8731aa031ffffff,mixed_evening_area,42.58,38.5,11.34,31.24,219,205,237
8731aa7b5ffffff,mixed_evening_area,42.47,32.73,12.6,29.869999999999997,220,244,204
8731aa56effffff,mixed_evening_area,42.32,32.49,12.02,30.3,221,248,215
8731aa58dffffff,mixed_evening_area,42.32,33.08,12.46,29.86,221,241,207
8731aa570ffffff,mixed_evening_area,42.02,33.17,12.28,29.740000000000002,223,239,210
8731aa4eaffffff,mixed_evening_area,41.88,35.1,11.26,30.620000000000005,224,224,239
8731aa4e9ffffff,mixed_evening_area,41.83,36.62,11.56,30.269999999999996,225,216,229
8731aacdeffffff,mixed_evening_area,41.62,32.32,12.45,29.169999999999998,226,250,208
8731aa4e3ffffff,mixed_evening_area,41.47,33.33,11.21,30.259999999999998,227,236,241
8731aa0b6ffffff,mixed_evening_area,41.46,33.98,11.17,30.29,228,230,244
8731aa445ffffff,mixed_evening_area,41.45,31.49,12.02,29.430000000000003,229,260,215
8731aa41effffff,mixed_evening_area,41.42,34.13,12.19,29.230000000000004,230,228,212
8731aa4b4ffffff,mixed_evening_area,41.37,33.5,11.37,30.0,231,232,236
8731aa568ffffff,mixed_evening_area,41.16,32.13,11.92,29.239999999999995,232,254,221
8731aa561ffffff,mixed_evening_area,40.83,36.06,10.97,29.86,233,219,250
8731aa11cffffff,mixed_evening_area,40.54,32.19,11.14,29.4,234,252,245
8731aa4eeffffff,mixed_evening_area,40.41,32.99,11.21,29.199999999999996,235,242,241
873181b6cffffff,mixed_evening_area,40.37,34.49,10.6,29.769999999999996,236,227,259
8731aa720ffffff,mixed_evening_area,40.3,32.28,11.57,28.729999999999997,237,251,228
8731aa780ffffff,mixed_evening_area,40.28,29.3,11.52,28.76,238,291,230
87318194affffff,mixed_evening_area,40.26,36.23,10.43,29.83,239,218,262
8731aa786ffffff,mixed_evening_area,40.19,33.11,11.46,28.729999999999997,240,240,233
8731aa5acffffff,mixed_evening_area,39.97,30.46,11.88,28.089999999999996,241,273,222
8731aa564ffffff,mixed_evening_area,39.91,31.5,11.4,28.509999999999998,242,259,235
8731aa4cbffffff,mixed_evening_area,39.47,32.02,10.4,29.07,243,255,264
8731aa103ffffff,mixed_evening_area,39.33,32.71,10.53,28.799999999999997,244,246,260
8731aa5a5ffffff,mixed_evening_area,39.27,30.47,11.81,27.46,245,272,224
87318525affffff,mixed_evening_area,38.93,35.7,10.33,28.6,246,221,266
8731aa525ffffff,mixed_evening_area,38.91,29.43,12.02,26.889999999999997,247,286,215
873185253ffffff,mixed_evening_area,38.91,35.69,10.27,28.639999999999997,247,222,269
8731aaccbffffff,mixed_evening_area,38.69,28.68,10.63,28.059999999999995,249,309,258
8731aa784ffffff,mixed_evening_area,38.36,31.67,10.7,27.66,250,257,256
87318532affffff,mixed_evening_area,38.33,33.6,10.28,28.049999999999997,251,231,268
8731aa59affffff,mixed_evening_area,38.3,34.58,9.96,28.339999999999996,252,226,279
873185adaffffff,mixed_evening_area,38.08,32.96,6.69,31.389999999999997,253,243,541
8731aa4a8ffffff,mixed_evening_area,38.02,27.71,11.13,26.89,254,334,246
8731aa004ffffff,mixed_evening_area,37.69,33.43,10.08,27.61,255,234,275
8731aa721ffffff,mixed_evening_area,37.37,30.3,10.35,27.019999999999996,256,276,265
8731aa005ffffff,mixed_evening_area,37.35,32.18,10.1,27.25,257,253,273
8731aa513ffffff,mixed_evening_area,37.18,26.06,11.06,26.119999999999997,258,376,248
8731aa526ffffff,mixed_evening_area,37.17,27.37,11.3,25.87,259,342,238
8731aa726ffffff,mixed_evening_area,37.13,28.41,10.87,26.260000000000005,260,316,251
8731aa4f6ffffff,mixed_evening_area,37.04,27.24,11.03,26.009999999999998,261,346,249
8731aa413ffffff,mixed_evening_area,36.95,29.26,10.72,26.230000000000004,262,294,254
8731aa41bffffff,mixed_evening_area,36.68,26.52,10.72,25.96,263,366,254
8731aa412ffffff,mixed_evening_area,36.67,26.73,11.5,25.17,264,359,231
8731aa700ffffff,mixed_evening_area,36.66,28.82,10.66,25.999999999999996,265,302,257
8731aa4f5ffffff,mixed_evening_area,36.64,29.63,10.43,26.21,266,283,262
873181860ffffff,mixed_evening_area,36.51,25.67,10.08,26.43,267,387,275
8731aa7b4ffffff,mixed_evening_area,36.5,30.76,11.08,25.42,268,267,247
87318525effffff,mixed_evening_area,36.46,31.65,9.91,26.55,269,258,282
8731aad88ffffff,mixed_evening_area,36.45,30.31,9.68,26.770000000000003,270,275,290
8731aa515ffffff,mixed_evening_area,36.42,26.62,11.18,25.240000000000002,271,362,243
8731aa458ffffff,mixed_evening_area,36.26,29.38,10.32,25.939999999999998,272,288,267
8731aa4b6ffffff,mixed_evening_area,36.09,25.6,10.13,25.96,273,391,271
8731852edffffff,mixed_evening_area,35.88,32.72,9.19,26.690000000000005,274,245,316
87318185dffffff,mixed_evening_area,35.75,34.11,6.02,29.73,275,229,713
8731aa156ffffff,mixed_evening_area,35.7,30.71,8.95,26.750000000000004,276,269,326
8731aac8cffffff,mixed_evening_area,35.57,29.07,9.44,26.130000000000003,277,297,297
8731aa032ffffff,mixed_evening_area,35.35,27.54,10.26,25.090000000000003,278,340,270
8731aa45effffff,mixed_evening_area,35.24,26.17,10.75,24.490000000000002,279,371,253
8731aa095ffffff,mixed_evening_area,35.22,31.69,9.82,25.4,280,256,286
8731aa110ffffff,mixed_evening_area,35.16,32.44,6.97,28.189999999999998,281,249,505
8731aa076ffffff,mixed_evening_area,35.04,33.19,5.19,29.849999999999998,282,238,896
873181b21ffffff,mixed_evening_area,34.82,24.2,9.72,25.1,283,425,288
873181961ffffff,mixed_evening_area,34.78,34.89,7.18,27.71,284,225,485
8731aa18cffffff,mixed_evening_area,34.71,27.34,9.58,25.130000000000003,285,343,294
8731aa701ffffff,mixed_evening_area,34.46,26.8,9.44,25.020000000000003,286,352,297
8731aa888ffffff,mixed_evening_area,34.22,30.76,8.91,25.31,287,267,331
87318534cffffff,mixed_evening_area,34.12,28.69,8.2,25.919999999999998,288,308,380
8731aa0b1ffffff,mixed_evening_area,34.03,28.85,9.42,24.61,289,301,302
873181966ffffff,mixed_evening_area,33.89,33.29,5.92,27.97,290,237,727
8731aa730ffffff,mixed_evening_area,33.71,28.8,9.32,24.39,291,304,308
8731aa006ffffff,mixed_evening_area,33.59,29.85,9.35,24.240000000000002,292,282,305
87318525bffffff,mixed_evening_area,33.45,24.19,9.65,23.800000000000004,293,428,291
873185258ffffff,mixed_evening_area,33.42,29.58,9.51,23.910000000000004,294,285,295
8731aacaaffffff,mixed_evening_area,33.34,25.41,9.88,23.46,295,394,284
8731aa45cffffff,mixed_evening_area,33.29,25.32,10.1,23.189999999999998,296,400,273
8731aa510ffffff,mixed_evening_area,33.25,22.97,10.78,22.47,297,470,252
8731aacc1ffffff,mixed_evening_area,33.25,23.89,9.89,23.36,297,442,283
8731aabb5ffffff,mixed_evening_area,33.21,32.7,8.28,24.93,299,247,370
8731aa1aaffffff,mixed_evening_area,33.01,23.06,9.59,23.419999999999998,300,465,292
8731aa71cffffff,mixed_evening_area,33.01,28.19,8.76,24.25,300,321,340
8731aa494ffffff,mixed_evening_area,33.0,26.63,8.16,24.84,302,361,384
8731aa8e9ffffff,mixed_evening_area,32.93,33.44,8.21,25.229999999999997,303,233,375
8731aacd8ffffff,mixed_evening_area,32.9,21.29,10.11,22.79,304,545,272
8731aa4d2ffffff,mixed_evening_area,32.84,23.79,9.21,23.630000000000003,305,446,314
8731aa58bffffff,mixed_evening_area,32.83,24.61,9.83,23.0,306,415,285
87318526dffffff,mixed_evening_area,32.79,29.35,8.56,24.229999999999997,307,290,349
8731aa4ebffffff,mixed_evening_area,32.78,26.12,9.33,23.450000000000003,308,373,307
8731aa09bffffff,mixed_evening_area,32.73,25.12,9.35,23.379999999999995,309,405,305
8731aa4d5ffffff,mixed_evening_area,32.71,24.11,8.82,23.89,310,433,335
8731aa4f1ffffff,mixed_evening_area,32.61,27.92,8.94,23.67,311,330,329
8731aa180ffffff,mixed_evening_area,32.33,24.2,9.96,22.369999999999997,312,425,279
8731aa091ffffff,mixed_evening_area,32.23,24.2,10.01,22.22,313,425,278
8731aa09effffff,mixed_evening_area,32.21,24.95,9.02,23.19,314,408,322
8731aa4a9ffffff,mixed_evening_area,32.2,24.07,9.43,22.770000000000003,315,435,300
8731aa708ffffff,mixed_evening_area,32.2,28.17,8.21,23.990000000000002,315,322,375
87318194effffff,mixed_evening_area,32.19,26.21,8.61,23.58,317,370,347
8731aa441ffffff,mixed_evening_area,32.08,23.5,9.51,22.57,318,450,295
873185273ffffff,mixed_evening_area,32.06,31.43,4.07,27.990000000000002,319,262,1222
8731aa79bffffff,mixed_evening_area,32.06,27.31,7.99,24.07,319,344,395
8731aa171ffffff,mixed_evening_area,32.02,30.91,6.78,25.240000000000002,321,265,528
8731aa4e8ffffff,mixed_evening_area,32.01,22.22,9.59,22.419999999999998,322,501,292
8731aa72effffff,mixed_evening_area,31.95,25.88,8.95,23.0,323,384,326
8731aa532ffffff,mixed_evening_area,31.94,23.51,9.71,22.23,324,449,289
8731aa4f0ffffff,mixed_evening_area,31.9,23.31,9.36,22.54,325,456,303
8731aacceffffff,mixed_evening_area,31.9,22.5,9.76,22.14,325,489,287
