spatial_unit,bar_density,restaurant_density,subway_distance,entertainment_poi_count,tourism_poi_count,poi_diversity,poi_total_count,poi_meaningful_count,poi_category_count,nightlife_poi_count,transport_poi_count,business_area_count,aoi_count,avg_poi_distance
8731aa50affffff,0.1944,0.0667,1.72,2.0,17.0,0.616,30.0,30.0,6.0,2.0,1.0,3.0,3.0,114.91
8731aa529ffffff,0.25,0.1333,1.48,3.0,6.0,0.716,30.0,29.0,6.0,3.0,4.0,3.0,1.0,351.26
8731aa55affffff,0.1389,0.0233,1.32,1.0,1.0,0.578,30.0,29.0,5.0,1.0,6.0,3.0,1.0,206.99
8731aa55dffffff,0.5278,0.1333,1.8,8.0,1.0,0.589,30.0,30.0,5.0,8.0,0.0,3.0,4.0,118.69
8731aa555ffffff,0.3056,0.0,1.48,4.0,6.0,0.62,30.0,30.0,5.0,4.0,4.0,3.0,1.0,203.87
8731aa542ffffff,0.4167,0.2,1.4,6.0,7.0,0.812,30.0,29.0,7.0,6.0,5.0,3.0,1.0,208.8
8731aa548ffffff,0.6667,0.4667,1.64,11.0,2.0,0.781,30.0,27.0,7.0,11.0,2.0,2.0,3.0,117.29
8731aa51dffffff,0.3056,0.0667,1.64,4.0,8.0,0.779,30.0,27.0,7.0,4.0,2.0,3.0,2.0,126.76
8731aa556ffffff,0.25,0.09,1.32,3.0,7.0,0.814,30.0,30.0,8.0,3.0,6.0,3.0,3.0,126.51
8731aa576ffffff,0.25,0.09,1.8,3.0,4.0,0.629,30.0,28.0,6.0,3.0,0.0,3.0,1.0,173.86
8731aa508ffffff,0.4167,0.2667,1.32,6.0,2.0,0.698,30.0,30.0,6.0,6.0,6.0,3.0,0.0,191.02
8731aa422ffffff,0.3611,0.0233,1.72,5.0,4.0,0.686,30.0,29.0,6.0,5.0,1.0,3.0,2.0,180.79
8731aa428ffffff,1.0,0.0667,1.0,19.0,19.0,0.429,30.0,30.0,4.0,19.0,10.0,3.0,3.0,145.69
8731aa573ffffff,0.8611,0.4,1.64,14.0,1.0,0.7,30.0,28.0,6.0,14.0,2.0,3.0,6.0,110.23
8731aa5a9ffffff,0.5556,0.2,1.8,9.0,2.0,0.567,30.0,30.0,5.0,9.0,0.0,2.0,2.0,133.75
8731aa54affffff,0.3056,0.1567,1.08,4.0,2.0,0.848,30.0,27.0,8.0,4.0,9.0,3.0,1.0,186.89
8731aa558ffffff,0.4167,0.1567,1.4,6.0,1.0,0.828,30.0,28.0,8.0,6.0,5.0,3.0,1.0,141.82
8731aa572ffffff,0.0833,0.0,1.32,0.0,7.0,0.563,30.0,30.0,4.0,0.0,6.0,3.0,4.0,102.75
8731aa50cffffff,0.0556,0.0,1.8,0.0,3.0,0.388,30.0,29.0,3.0,0.0,0.0,2.0,5.0,132.97
8731aa435ffffff,0.5,0.3367,1.72,8.0,5.0,0.793,30.0,30.0,7.0,8.0,1.0,2.0,6.0,89.78
8731aa415ffffff,0.5833,0.2667,1.8,9.0,5.0,0.664,30.0,29.0,5.0,9.0,0.0,3.0,2.0,174.85
8731aa546ffffff,0.4722,0.2667,1.8,7.0,6.0,0.651,30.0,30.0,6.0,7.0,0.0,3.0,4.0,128.59
8731aa430ffffff,0.25,0.0667,1.16,3.0,3.0,0.738,30.0,27.0,7.0,3.0,8.0,3.0,2.0,219.27
8731aa41cffffff,0.6667,0.2467,1.8,11.0,4.0,0.785,30.0,30.0,7.0,11.0,0.0,2.0,1.0,248.79
8731aa426ffffff,0.4722,0.0667,1.8,7.0,8.0,0.674,30.0,30.0,6.0,7.0,0.0,3.0,3.0,204.91
8731aa421ffffff,0.8611,0.1333,1.72,14.0,15.0,0.757,30.0,29.0,7.0,14.0,1.0,3.0,3.0,127.79
8731aa406ffffff,1.0,0.65,1.72,17.0,2.0,0.81,30.0,30.0,7.0,17.0,1.0,3.0,0.0,221.47
8731aa50effffff,0.3056,0.2,1.4,4.0,6.0,0.73,30.0,30.0,6.0,4.0,5.0,3.0,3.0,137.25
8731aa543ffffff,0.3333,0.0667,1.24,5.0,6.0,0.885,30.0,29.0,8.0,5.0,7.0,2.0,1.0,295.07
8731aa429ffffff,0.1944,0.0667,1.24,2.0,7.0,0.698,30.0,29.0,6.0,2.0,7.0,3.0,2.0,112.71
8731aa55cffffff,0.4167,0.2,1.72,6.0,10.0,0.668,30.0,29.0,6.0,6.0,1.0,3.0,3.0,94.05
8731aa425ffffff,0.1389,0.0,1.4,1.0,5.0,0.602,30.0,30.0,5.0,1.0,5.0,3.0,3.0,180.41
8731aa461ffffff,0.4722,0.0667,1.48,7.0,8.0,0.81,30.0,30.0,7.0,7.0,4.0,3.0,3.0,189.82
8731aa404ffffff,0.3056,0.07,1.32,4.0,4.0,0.715,30.0,30.0,6.0,4.0,6.0,3.0,1.0,210.46
8731aa50bffffff,0.6944,0.1367,1.8,11.0,4.0,0.865,30.0,30.0,8.0,11.0,0.0,3.0,0.0,233.29
8731aa466ffffff,0.4722,0.3333,1.24,7.0,3.0,0.792,30.0,29.0,7.0,7.0,7.0,3.0,2.0,123.56
8731aa423ffffff,0.4722,0.3567,1.24,7.0,6.0,0.888,30.0,30.0,8.0,7.0,7.0,3.0,3.0,115.86
8731aa55effffff,0.6389,0.38,1.72,10.0,3.0,0.814,30.0,27.0,7.0,10.0,1.0,3.0,3.0,111.04
8731aa509ffffff,0.5278,0.2667,1.8,8.0,4.0,0.682,30.0,27.0,6.0,8.0,0.0,3.0,3.0,175.22
8731aa540ffffff,0.3056,0.0,0.68,4.0,5.0,0.729,30.0,28.0,7.0,4.0,14.0,3.0,1.0,297.64
8731aa46cffffff,0.4722,0.2467,1.64,7.0,6.0,0.861,30.0,28.0,8.0,7.0,2.0,3.0,1.0,258.05
8731aa424ffffff,1.0,0.0,1.8,28.0,29.0,0.213,30.0,30.0,3.0,28.0,0.0,3.0,3.0,156.84
8731aa464ffffff,0.3056,0.18,1.24,4.0,2.0,0.802,30.0,25.0,7.0,4.0,7.0,3.0,3.0,237.55
8731aa551ffffff,0.75,0.6467,1.16,12.0,2.0,0.782,30.0,28.0,7.0,12.0,8.0,3.0,3.0,73.99
8731aa470ffffff,0.25,0.0667,1.48,3.0,2.0,0.688,30.0,27.0,6.0,3.0,4.0,3.0,1.0,212.65
8731aa42effffff,0.6944,0.5133,1.0,11.0,4.0,0.795,30.0,29.0,7.0,11.0,10.0,3.0,3.0,69.44
8731aa518ffffff,0.4722,0.49,1.56,8.0,7.0,0.733,30.0,29.0,6.0,8.0,3.0,1.0,2.0,119.2
8731aa553ffffff,1.0,0.6,1.72,18.0,8.0,0.692,30.0,30.0,6.0,18.0,1.0,3.0,0.0,132.45
8731aa56bffffff,0.4722,0.2667,1.8,8.0,5.0,0.885,30.0,22.0,8.0,8.0,0.0,1.0,1.0,305.38
8731aa463ffffff,0.4167,0.2,1.8,6.0,6.0,0.565,30.0,30.0,5.0,6.0,0.0,3.0,4.0,135.8
8731aa552ffffff,0.6944,0.2667,1.64,11.0,9.0,0.812,30.0,29.0,7.0,11.0,2.0,3.0,1.0,142.47
8731aa54cffffff,0.1944,0.1333,1.48,2.0,7.0,0.736,30.0,24.0,6.0,2.0,4.0,3.0,0.0,294.32
8731aa433ffffff,0.5278,0.0,1.64,8.0,12.0,0.792,30.0,26.0,7.0,8.0,2.0,3.0,0.0,292.74
8731aa554ffffff,0.25,0.0667,1.8,3.0,7.0,0.696,30.0,30.0,7.0,3.0,0.0,3.0,1.0,180.12
8731aa541ffffff,0.4722,0.3367,1.4,8.0,5.0,0.823,30.0,30.0,7.0,8.0,5.0,1.0,1.0,91.39
8731aa444ffffff,0.6944,0.47,1.0,11.0,3.0,0.865,30.0,30.0,8.0,11.0,10.0,3.0,2.0,236.66
8731aa54effffff,0.8056,0.4233,1.48,13.0,11.0,0.888,30.0,30.0,8.0,13.0,4.0,3.0,2.0,126.57
8731aa503ffffff,0.6944,0.5567,1.0,11.0,3.0,0.849,30.0,28.0,9.0,11.0,10.0,3.0,1.0,384.61
8731aa51bffffff,0.1111,0.0667,1.56,1.0,2.0,0.561,30.0,30.0,5.0,1.0,3.0,2.0,3.0,179.79
8731aa469ffffff,0.3611,0.2667,1.72,5.0,6.0,0.663,30.0,29.0,6.0,5.0,1.0,3.0,3.0,178.49
8731aa436ffffff,0.3056,0.0,1.8,4.0,1.0,0.484,30.0,29.0,4.0,4.0,0.0,3.0,4.0,192.96
8731aa51affffff,0.25,0.1567,1.64,4.0,4.0,0.758,30.0,25.0,7.0,4.0,2.0,1.0,1.0,243.23
8731aa56affffff,0.2222,0.1333,1.8,3.0,4.0,0.508,30.0,26.0,5.0,3.0,0.0,2.0,3.0,188.53
8731aa471ffffff,0.1389,0.0667,1.8,1.0,4.0,0.49,30.0,29.0,4.0,1.0,0.0,3.0,3.0,231.83
8731aa473ffffff,0.3611,0.09,1.48,5.0,3.0,0.784,30.0,28.0,7.0,5.0,4.0,3.0,3.0,107.81
8731aa51cffffff,0.3056,0.09,1.56,5.0,2.0,0.754,30.0,30.0,7.0,5.0,3.0,1.0,1.0,167.02
8731aa420ffffff,0.3611,0.1567,1.48,5.0,2.0,0.862,30.0,26.0,8.0,5.0,4.0,3.0,3.0,105.61
8731aa501ffffff,1.0,0.0,1.8,22.0,30.0,0.251,30.0,30.0,2.0,22.0,0.0,3.0,3.0,93.46
8731aa41dffffff,0.25,0.0667,1.72,3.0,4.0,0.647,30.0,30.0,6.0,3.0,1.0,3.0,1.0,198.97
8731aa42affffff,0.4722,0.1333,1.4,7.0,10.0,0.753,30.0,30.0,6.0,7.0,5.0,3.0,1.0,166.34
8731aa409ffffff,0.4722,0.3333,1.24,7.0,3.0,0.748,30.0,28.0,6.0,7.0,7.0,3.0,1.0,88.46
8731aa405ffffff,0.3056,0.0,1.8,4.0,9.0,0.598,30.0,30.0,5.0,4.0,0.0,3.0,2.0,118.8
8731aa52cffffff,0.4167,0.1567,1.8,6.0,3.0,0.727,30.0,30.0,7.0,6.0,0.0,3.0,2.0,142.03
8731aa521ffffff,0.3056,0.2,1.64,4.0,4.0,0.607,30.0,29.0,6.0,4.0,2.0,3.0,2.0,186.6
8731aa46effffff,0.7222,0.69,1.8,12.0,10.0,0.685,30.0,30.0,6.0,12.0,0.0,2.0,2.0,127.57
8731aa476ffffff,0.5833,0.4667,1.64,9.0,4.0,0.851,30.0,30.0,8.0,9.0,2.0,3.0,1.0,136.87
8731aa460ffffff,0.6389,0.29,1.32,10.0,1.0,0.809,30.0,29.0,7.0,10.0,6.0,3.0,5.0,86.42
8731aa403ffffff,0.6389,0.3333,1.56,10.0,2.0,0.815,30.0,30.0,7.0,10.0,3.0,3.0,3.0,129.39
8731aa408ffffff,0.5278,0.18,1.48,8.0,3.0,0.801,30.0,29.0,7.0,8.0,4.0,3.0,0.0,208.27
8731aa454ffffff,0.9167,0.5833,1.32,15.0,5.0,0.903,30.0,28.0,9.0,15.0,6.0,3.0,1.0,137.22
8731aa42dffffff,0.4167,0.29,1.56,6.0,9.0,0.779,30.0,30.0,7.0,6.0,3.0,3.0,3.0,132.7
8731aa40effffff,0.6389,0.2233,1.0,10.0,9.0,0.844,30.0,29.0,8.0,10.0,10.0,3.0,4.0,114.51
8731aa402ffffff,0.25,0.0,1.08,3.0,2.0,0.671,30.0,22.0,6.0,3.0,9.0,3.0,1.0,359.09
8731aa40dffffff,0.6944,0.1567,1.64,11.0,8.0,0.862,30.0,26.0,9.0,11.0,2.0,3.0,4.0,157.8
8731aa545ffffff,0.5,0.4467,1.48,8.0,7.0,0.739,30.0,27.0,6.0,8.0,4.0,2.0,2.0,135.86
8731aa54bffffff,0.25,0.1333,1.64,3.0,5.0,0.651,30.0,28.0,6.0,3.0,2.0,3.0,0.0,254.88
8731aa472ffffff,0.5278,0.2233,1.48,8.0,10.0,0.828,30.0,30.0,7.0,8.0,4.0,3.0,5.0,153.85
8731aa528ffffff,0.1667,0.09,1.48,2.0,3.0,0.673,30.0,30.0,6.0,2.0,4.0,2.0,3.0,171.62
8731aa40affffff,0.8056,0.6,1.56,13.0,4.0,0.88,30.0,29.0,8.0,13.0,3.0,3.0,4.0,117.42
8731aa401ffffff,0.0833,0.0,1.72,0.0,6.0,0.5,30.0,30.0,4.0,0.0,1.0,3.0,3.0,177.5
8731aa432ffffff,0.6389,0.2767,1.48,10.0,3.0,0.784,30.0,26.0,7.0,10.0,4.0,3.0,0.0,261.87
8731aa42bffffff,0.5833,0.1333,1.72,9.0,2.0,0.685,30.0,29.0,6.0,9.0,1.0,3.0,5.0,102.62
8731aa414ffffff,0.0833,0.0,1.64,0.0,1.0,0.513,30.0,28.0,5.0,0.0,2.0,3.0,6.0,97.58
8731aa4d4ffffff,0.4167,0.2233,1.8,6.0,4.0,0.762,30.0,28.0,7.0,6.0,0.0,3.0,0.0,222.32
8731aa468ffffff,0.25,0.1333,1.32,3.0,3.0,0.704,30.0,26.0,6.0,3.0,6.0,3.0,0.0,283.48
8731aa446ffffff,0.4722,0.1333,1.8,7.0,24.0,0.519,30.0,29.0,5.0,7.0,0.0,3.0,3.0,218.29
8731aa400ffffff,0.25,0.09,1.64,3.0,5.0,0.814,30.0,29.0,8.0,3.0,2.0,3.0,6.0,95.57
8731aa40bffffff,0.4722,0.09,1.72,7.0,5.0,0.89,30.0,25.0,9.0,7.0,1.0,3.0,0.0,211.12
8731aacd9ffffff,0.4722,0.2267,1.8,7.0,10.0,0.714,30.0,30.0,6.0,7.0,0.0,3.0,1.0,196.91
8731aa40cffffff,0.4722,0.0,1.56,7.0,8.0,0.738,30.0,30.0,6.0,7.0,3.0,3.0,1.0,209.13
8731aa4ecffffff,0.75,0.5133,1.8,12.0,2.0,0.723,30.0,30.0,6.0,12.0,0.0,3.0,3.0,166.82
8731aa410ffffff,0.3056,0.0,1.16,4.0,5.0,0.771,30.0,29.0,7.0,4.0,8.0,3.0,4.0,159.05
8731aa0a6ffffff,0.1389,0.1333,1.16,2.0,2.0,0.73,30.0,23.0,6.0,2.0,8.0,1.0,0.0,408.69
8731aa51effffff,0.6667,0.5367,1.24,12.0,5.0,0.888,30.0,28.0,8.0,12.0,7.0,0.0,1.0,290.77
8731aa575ffffff,0.5833,0.0,1.16,10.0,16.0,0.708,30.0,30.0,6.0,10.0,8.0,1.0,4.0,243.74
8731aa4e0ffffff,0.6667,0.2667,1.64,11.0,7.0,0.813,30.0,29.0,7.0,11.0,2.0,2.0,1.0,187.36
8731aa4e1ffffff,0.8056,0.7333,1.72,13.0,6.0,0.706,30.0,29.0,6.0,13.0,1.0,3.0,4.0,141.55
8731aa5a8ffffff,0.8333,0.38,1.24,14.0,14.0,0.793,30.0,30.0,7.0,14.0,7.0,2.0,2.0,162.42
8731aa440ffffff,0.8611,0.63,1.72,14.0,6.0,0.723,30.0,27.0,6.0,14.0,1.0,3.0,1.0,145.86
8731aa5adffffff,0.25,0.1333,1.4,4.0,7.0,0.732,30.0,30.0,6.0,4.0,5.0,1.0,1.0,204.42
8731aa199ffffff,0.8611,0.1567,1.72,15.0,2.0,0.825,30.0,29.0,8.0,15.0,1.0,1.0,1.0,245.28
8731aacd2ffffff,0.3056,0.0,1.32,4.0,2.0,0.77,30.0,25.0,7.0,4.0,6.0,3.0,2.0,235.98
8731aa456ffffff,0.3056,0.0,1.48,4.0,4.0,0.758,30.0,28.0,7.0,4.0,4.0,3.0,1.0,205.11
8731aa450ffffff,0.4167,0.3567,1.24,6.0,3.0,0.868,30.0,28.0,8.0,6.0,7.0,3.0,2.0,247.63
8731aa734ffffff,0.4167,0.2,1.56,6.0,7.0,0.888,30.0,27.0,8.0,6.0,3.0,3.0,2.0,270.82
8731aa4e4ffffff,0.3611,0.0,1.48,6.0,5.0,0.811,30.0,30.0,7.0,6.0,4.0,1.0,2.0,390.38
8731aa46dffffff,0.3611,0.2233,1.72,5.0,6.0,0.742,30.0,29.0,7.0,5.0,1.0,3.0,4.0,174.95
8731aa5aeffffff,0.3333,0.09,1.56,5.0,8.0,0.786,30.0,30.0,7.0,5.0,3.0,2.0,4.0,174.17
8731aa569ffffff,0.2222,0.0233,1.4,3.0,3.0,0.858,30.0,25.0,8.0,3.0,5.0,2.0,1.0,296.17
8731aa465ffffff,1.0,1.0,1.8,26.0,4.0,0.576,30.0,30.0,6.0,26.0,0.0,2.0,4.0,107.74
8731aaadaffffff,0.4444,0.27,1.8,7.0,4.0,0.76,30.0,29.0,7.0,7.0,0.0,2.0,2.0,153.01
8731aa5aaffffff,0.1944,0.1333,1.4,2.0,4.0,0.718,30.0,26.0,6.0,2.0,5.0,3.0,3.0,204.27
8731aa5abffffff,0.3333,0.2,1.16,5.0,5.0,0.727,30.0,29.0,6.0,5.0,8.0,2.0,1.0,187.51
8731aa504ffffff,0.1111,0.0,1.32,1.0,5.0,0.638,30.0,23.0,5.0,1.0,6.0,2.0,3.0,277.03
8731aacd6ffffff,0.4722,0.1567,1.56,7.0,3.0,0.869,30.0,30.0,8.0,7.0,3.0,3.0,1.0,208.67
8731aa030ffffff,0.75,0.6467,1.8,12.0,2.0,0.693,30.0,30.0,6.0,12.0,0.0,3.0,6.0,92.95
8731aa45bffffff,0.1389,0.0,1.48,2.0,2.0,0.604,30.0,30.0,5.0,2.0,4.0,1.0,4.0,181.2
8731aa411ffffff,0.3056,0.1333,1.56,5.0,13.0,0.709,30.0,28.0,6.0,5.0,3.0,1.0,2.0,183.08
8731aa500ffffff,0.1389,0.0,1.48,2.0,2.0,0.703,30.0,22.0,6.0,2.0,4.0,1.0,2.0,290.52
8731aa5a3ffffff,0.5556,0.3567,1.64,9.0,11.0,0.864,30.0,30.0,8.0,9.0,2.0,2.0,2.0,169.98
8731aa374ffffff,0.7222,0.67,1.8,13.0,6.0,0.725,30.0,29.0,6.0,13.0,0.0,0.0,2.0,179.38
8731aa198ffffff,0.6389,0.5133,1.48,10.0,2.0,0.796,30.0,24.0,7.0,10.0,4.0,3.0,0.0,358.92
8731aa09affffff,0.25,0.0233,1.8,3.0,5.0,0.6,30.0,28.0,5.0,3.0,0.0,3.0,2.0,141.82
8731aa5a0ffffff,1.0,1.0,1.72,22.0,3.0,0.742,30.0,30.0,8.0,22.0,1.0,3.0,3.0,163.95
8731aa722ffffff,0.6944,0.5333,1.72,11.0,8.0,0.692,30.0,30.0,6.0,11.0,1.0,3.0,2.0,103.88
8731aa589ffffff,0.3333,0.2233,1.48,5.0,4.0,0.788,30.0,28.0,7.0,5.0,4.0,2.0,1.0,310.18
8731aa4f2ffffff,0.75,0.45,1.72,12.0,6.0,0.823,30.0,29.0,7.0,12.0,1.0,3.0,3.0,195.65
8731aa562ffffff,0.3056,0.1333,1.08,5.0,7.0,0.784,30.0,29.0,7.0,5.0,9.0,1.0,1.0,192.69
8731aa52affffff,0.1111,0.1333,1.4,2.0,5.0,0.637,30.0,19.0,5.0,2.0,5.0,0.0,3.0,176.62
8731aacd3ffffff,0.5833,0.25,1.56,9.0,7.0,0.829,30.0,30.0,7.0,9.0,3.0,3.0,3.0,171.01
8731aa033ffffff,1.0,0.8033,1.8,17.0,8.0,0.7,30.0,29.0,6.0,17.0,0.0,3.0,3.0,85.71
8731aa4f4ffffff,0.1389,0.0,1.8,2.0,5.0,0.505,30.0,23.0,4.0,2.0,0.0,1.0,1.0,196.26
8731aa455ffffff,1.0,0.4333,1.56,17.0,0.0,0.74,30.0,30.0,6.0,17.0,3.0,3.0,2.0,265.93
8731aa19affffff,0.25,0.0,1.08,4.0,4.0,0.697,30.0,26.0,6.0,4.0,9.0,1.0,2.0,327.82
8731aacd0ffffff,0.9167,0.5667,1.8,15.0,7.0,0.652,30.0,30.0,5.0,15.0,0.0,3.0,4.0,90.98
8731aa418ffffff,0.3611,0.2467,1.4,5.0,1.0,0.804,30.0,29.0,7.0,5.0,5.0,3.0,2.0,230.2
8731aa4d6ffffff,0.4444,0.2667,1.08,7.0,2.0,0.855,30.0,30.0,8.0,7.0,9.0,2.0,2.0,228.15
8731aa735ffffff,0.4167,0.1333,1.24,6.0,7.0,0.877,30.0,30.0,8.0,6.0,7.0,3.0,3.0,164.13
8731aa4d0ffffff,0.3056,0.1333,1.64,4.0,5.0,0.899,30.0,29.0,8.0,4.0,2.0,3.0,1.0,256.09
8731aa549ffffff,0.2222,0.0667,1.64,3.0,11.0,0.7,30.0,25.0,6.0,3.0,2.0,2.0,0.0,538.48
8731aa453ffffff,0.3056,0.1133,1.16,4.0,2.0,0.863,30.0,30.0,8.0,4.0,8.0,3.0,0.0,362.55
8731aa442ffffff,0.1389,0.0,1.4,1.0,3.0,0.749,30.0,26.0,7.0,1.0,5.0,3.0,0.0,399.73
8731aa092ffffff,0.2222,0.0,1.48,3.0,4.0,0.802,30.0,23.0,7.0,3.0,4.0,2.0,1.0,332.85
8731aa522ffffff,0.1111,0.0,1.48,1.0,7.0,0.712,30.0,28.0,6.0,1.0,4.0,2.0,4.0,253.3
8731aa599ffffff,0.3611,0.09,1.8,5.0,6.0,0.737,30.0,29.0,7.0,5.0,0.0,3.0,1.0,266.3
8731aa18dffffff,0.25,0.1333,1.56,4.0,5.0,0.778,30.0,26.0,7.0,4.0,3.0,1.0,0.0,560.1
8731aa588ffffff,0.2222,0.0233,1.32,4.0,3.0,0.823,30.0,26.0,7.0,4.0,6.0,0.0,0.0,308.16
8731aa329ffffff,0.4444,0.3333,1.8,7.0,3.0,0.683,30.0,28.0,6.0,7.0,0.0,2.0,3.0,214.23
873181948ffffff,0.9722,0.65,1.8,17.0,4.0,0.817,30.0,29.0,7.0,17.0,0.0,1.0,2.0,97.41
8731aacddffffff,0.5833,0.0667,1.56,9.0,7.0,0.909,30.0,28.0,8.0,9.0,3.0,3.0,1.0,276.17
8731aa5a6ffffff,0.9444,0.89,1.56,16.0,2.0,0.812,30.0,29.0,8.0,16.0,3.0,2.0,2.0,86.5
8731aa563ffffff,0.3889,0.0667,1.32,6.0,5.0,0.877,30.0,29.0,8.0,6.0,6.0,2.0,0.0,332.87
8731aa451ffffff,0.1667,0.0233,1.4,2.0,1.0,0.816,30.0,24.0,8.0,2.0,5.0,2.0,1.0,196.65
8731aa443ffffff,0.5278,0.0467,1.64,8.0,5.0,0.868,30.0,27.0,8.0,8.0,2.0,3.0,1.0,201.64
8731aa4e6ffffff,0.3889,0.09,1.48,6.0,3.0,0.749,30.0,28.0,7.0,6.0,4.0,2.0,2.0,354.3
8731aa54dffffff,0.3333,0.0,1.56,5.0,13.0,0.73,30.0,29.0,6.0,5.0,3.0,2.0,0.0,349.45
8731aa45affffff,0.3611,0.4,1.72,6.0,8.0,0.61,30.0,30.0,5.0,6.0,1.0,1.0,3.0,98.62
8731aa704ffffff,0.5833,0.5133,1.8,9.0,5.0,0.639,30.0,28.0,5.0,9.0,0.0,3.0,3.0,104.66
8731aa523ffffff,0.1389,0.0,1.16,1.0,1.0,0.668,30.0,28.0,6.0,1.0,8.0,3.0,1.0,256.41
8731aa0b4ffffff,0.25,0.09,1.24,4.0,5.0,0.769,30.0,25.0,7.0,4.0,7.0,1.0,0.0,614.66
8731aa41affffff,0.8333,0.4267,1.56,14.0,2.0,0.836,30.0,28.0,7.0,14.0,3.0,2.0,1.0,255.62
8731aa4edffffff,0.1944,0.0,1.4,2.0,2.0,0.507,30.0,18.0,4.0,2.0,5.0,3.0,1.0,525.69
8731aa52dffffff,0.25,0.0667,1.08,3.0,3.0,0.671,30.0,29.0,6.0,3.0,9.0,3.0,0.0,199.19
8731aabb4ffffff,0.1111,0.0667,1.64,2.0,11.0,0.679,30.0,30.0,6.0,2.0,2.0,0.0,1.0,191.58
8731aacd1ffffff,0.3611,0.0,1.24,5.0,4.0,0.723,30.0,30.0,6.0,5.0,7.0,3.0,2.0,208.46
8731aa489ffffff,0.3056,0.1567,1.64,4.0,10.0,0.836,30.0,30.0,8.0,4.0,2.0,3.0,2.0,190.23
8731aa5a1ffffff,0.1389,0.0,1.4,1.0,21.0,0.513,30.0,30.0,5.0,1.0,5.0,3.0,3.0,182.05
8731aa096ffffff,0.2222,0.09,1.64,3.0,5.0,0.899,30.0,25.0,9.0,3.0,2.0,2.0,1.0,311.0
8731aa181ffffff,0.4722,0.1333,1.16,8.0,4.0,0.872,30.0,28.0,8.0,8.0,8.0,1.0,1.0,432.29
8731aa452ffffff,0.3889,0.1333,1.48,6.0,6.0,0.828,30.0,28.0,7.0,6.0,4.0,2.0,2.0,448.87
8731aa705ffffff,0.1944,0.0233,1.32,2.0,5.0,0.673,30.0,29.0,6.0,2.0,6.0,3.0,1.0,140.48
8731aa034ffffff,0.4167,0.0667,1.72,6.0,7.0,0.69,30.0,23.0,6.0,6.0,1.0,3.0,1.0,397.84
8731aa0b5ffffff,0.0833,0.0667,1.56,1.0,0.0,0.464,30.0,11.0,5.0,1.0,3.0,1.0,0.0,703.58
8731aa723ffffff,0.6389,0.5333,1.8,10.0,5.0,0.638,30.0,29.0,5.0,10.0,0.0,3.0,0.0,190.54
8731aa502ffffff,0.3611,0.0,1.56,6.0,6.0,0.885,30.0,22.0,8.0,6.0,3.0,1.0,0.0,564.0
