spatial_unit,centroid_lng,centroid_lat,province,city,district,adcode,township,street,business_area,nearest_aoi,nearest_poi,formatted_address,zone,borough,display_name,name_source,name_confidence,regeo_status,regeo_info
8731aa42cffffff,116.3893466,39.9251780,北京市,北京市,西城区,110102,什刹海街道,陟山门街,,北海公园-琼华岛,北海公园-琼华岛,北京市西城区什刹海街道圣果殿北海公园-琼华岛,西城区 · 什刹海街道,西城区,西城区 · 什刹海街道,township,high,1,OK
8731aa519ffffff,116.3125645,39.9429917,北京市,北京市,海淀区,110108,紫竹院街道,紫竹院路,,如家酒店(北京紫竹桥万寿寺地铁站店),如家酒店(北京紫竹桥万寿寺地铁站店),北京市海淀区紫竹院街道如家酒店(北京紫竹桥万寿寺地铁站店),海淀区 · 紫竹院街道,海淀区,海淀区 · 紫竹院街道,township,high,1,OK
8731aa566ffffff,116.4214382,40.0443197,北京市,北京市,朝阳区,110105,来广营乡,秋实街,,莲葩园,莲葩园,北京市朝阳区来广营乡莲葩园,朝阳区 · 来广营乡,朝阳区,朝阳区 · 来广营乡,township,high,1,OK
8731aa50affffff,116.3268935,39.9599287,北京市,北京市,海淀区,110108,北下关街道,中关村大街,,中国农业科学院(中关村南大街),中国农业科学院(中关村南大街),北京市海淀区北下关街道中关村大街10号中国农业科学院(中关村南大街),海淀区 · 北下关街道,海淀区,海淀区 · 北下关街道,township,high,1,OK
8731aa529ffffff,116.3614612,40.0278917,北京市,北京市,朝阳区,110105,奥运村街道,清河路,,奥园高尔夫俱乐部,清缘东里小区,北京市朝阳区奥运村街道清河路奥园高尔夫俱乐部,朝阳区 · 奥运村街道,朝阳区,朝阳区 · 奥运村街道,township,high,1,OK
8731aa55affffff,116.4348494,39.9247147,北京市,北京市,朝阳区,110105,朝外街道,朝阳门内大街,,中国石化大厦,中国石化大厦,北京市朝阳区朝外街道朝阳门北大街中国石化大厦,朝阳区 · 朝外街道,朝阳区,朝阳区 · 朝外街道,township,high,1,OK
8731aa55dffffff,116.4635295,39.9585216,北京市,北京市,朝阳区,110105,麦子店街道,霄云路,,霞光里社区,霞光里社区,北京市朝阳区麦子店街道霞光里社区,朝阳区 · 麦子店街道,朝阳区,朝阳区 · 麦子店街道,township,high,1,OK
8731aa555ffffff,116.4095913,39.9761616,北京市,北京市,朝阳区,110105,小关街道,北土城东路,,元大都城垣遗址公园,元大都城垣遗址公园,北京市朝阳区小关街道元大都城垣遗址公园,朝阳区 · 小关街道,朝阳区,朝阳区 · 小关街道,township,high,1,OK
8731aa542ffffff,116.4323622,39.9759190,北京市,北京市,朝阳区,110105,太阳宫乡,樱花园东街,,元大都城垣遗址公园,北京服装学院樱花园校区,北京市朝阳区太阳宫乡元大都城垣遗址公园,朝阳区 · 太阳宫乡,朝阳区,朝阳区 · 太阳宫乡,township,high,1,OK
8731aa548ffffff,116.5006249,39.9751653,北京市,北京市,朝阳区,110105,酒仙桥街道,酒仙桥东路,,沃德中心,沃德中心,北京市朝阳区酒仙桥街道酒仙桥东路5号院沃德中心,朝阳区 · 酒仙桥街道,朝阳区,朝阳区 · 酒仙桥街道,township,high,1,OK
8731aa51dffffff,116.3040918,39.9601479,北京市,北京市,海淀区,110108,紫竹院街道,万泉河路,,厂洼小区,厂洼小区,北京市海淀区紫竹院街道长春桥路厂洼小区,海淀区 · 紫竹院街道,海淀区,海淀区 · 紫竹院街道,township,high,1,OK
8731aa556ffffff,116.3724721,39.9594771,北京市,北京市,西城区,110102,德胜街道,新街口外大街,,北京京教老年大学,北京京教老年大学,北京市西城区德胜街道北京京教老年大学,西城区 · 德胜街道,西城区,西城区 · 德胜街道,township,high,1,OK
8731aa576ffffff,116.3699183,40.0107232,北京市,北京市,朝阳区,110105,奥运村街道,科荟路,,美伦堡,美伦堡,北京市朝阳区奥运村街道美伦堡,朝阳区 · 奥运村街道,朝阳区,朝阳区 · 奥运村街道,township,high,1,OK
8731aa508ffffff,116.3412289,39.9768629,北京市,北京市,海淀区,110108,花园路街道,知春路,,,知春路(地铁站),北京市海淀区花园路街道知春路辅路,海淀区 · 花园路街道,海淀区,海淀区 · 花园路街道,township,high,1,OK
8731aa422ffffff,116.3294895,39.9086929,北京市,北京市,海淀区,110108,羊坊店街道,复兴路,,茂林居小区,茂林居小区,北京市海淀区羊坊店街道鑫鸵饺子城茂林居小区,海淀区 · 羊坊店街道,海淀区,海淀区 · 羊坊店街道,township,high,1,OK
8731aa428ffffff,116.3977738,39.9080352,北京市,北京市,东城区,110101,东华门街道,南河沿大街,,外金水桥,外金水桥,北京市东城区东华门街道外金水桥,东城区 · 东华门街道,东城区,东城区 · 东华门街道,township,high,1,OK
8731aa573ffffff,116.4011585,39.9933196,北京市,北京市,朝阳区,110105,亚运村街道,北辰东路,,北辰汇园酒店公寓,北辰汇园酒店公寓,北京市朝阳区亚运村街道北辰东路北辰汇园酒店公寓,朝阳区 · 亚运村街道,朝阳区,朝阳区 · 亚运村街道,township,high,1,OK
8731aa5a9ffffff,116.2611307,39.9093112,北京市,北京市,海淀区,110108,永定路街道,复兴路,,永定路街道四街坊社区,永定路街道四街坊社区,北京市海淀区永定路街道复兴路85号院永定路街道四街坊社区,海淀区 · 永定路街道,海淀区,海淀区 · 永定路街道,township,high,1,OK
8731aa54affffff,116.4862731,39.9582718,北京市,北京市,朝阳区,110105,将台乡,亮马桥路,,爱家国际商业中心,爱家国际商业中心,北京市朝阳区将台乡朝阳绿道爱家国际商业中心,朝阳区 · 将台乡,朝阳区,朝阳区 · 将台乡,township,high,1,OK
8731aa558ffffff,116.4491863,39.9416195,北京市,北京市,朝阳区,110105,三里屯街道,新东路,,南三里屯,奥加美术馆,北京市朝阳区三里屯街道加拿大大使馆南三里屯,朝阳区 · 三里屯街道,朝阳区,朝阳区 · 三里屯街道,township,high,1,OK
8731aa572ffffff,116.3783686,39.9935592,北京市,北京市,朝阳区,110105,亚运村街道,安翔北路,,石油化工管理干部学院分部,石油化工管理干部学院分部,北京市朝阳区亚运村街道石油化工管理干部学院分部,朝阳区 · 亚运村街道,朝阳区,朝阳区 · 亚运村街道,township,high,1,OK
8731aa50cffffff,116.3327640,39.9940253,北京市,北京市,海淀区,110108,东升镇,成府路,,AI原点社区,AI原点社区,北京市海淀区东升镇中关村东路AI原点社区,海淀区 · 东升镇,海淀区,海淀区 · 东升镇,township,high,1,OK
8731aa435ffffff,116.3067115,39.9089034,北京市,北京市,海淀区,110108,羊坊店街道,复兴路,,城乡购物中心(公主坟店),电子大楼,北京市海淀区羊坊店街道复兴路甲23号院城乡购物中心(公主坟店),海淀区 · 羊坊店街道,海淀区,海淀区 · 羊坊店街道,township,high,1,OK
8731aa415ffffff,116.3093258,39.8576867,北京市,北京市,丰台区,110106,丰台街道,永福路,,丰益花园,丰益花园,北京市丰台区丰台街道台湾街丰益花园,丰台区 · 丰台街道,丰台区,丰台区 · 丰台街道,township,high,1,OK
8731aa546ffffff,116.4239400,39.9930756,北京市,北京市,朝阳区,110105,大屯街道,小营路,,安慧东里,安慧东里,北京市朝阳区大屯街道小营路安慧东里,朝阳区 · 大屯街道,朝阳区,朝阳区 · 大屯街道,township,high,1,OK
8731aa430ffffff,116.2923989,39.8919640,北京市,北京市,丰台区,110106,六里桥街道,靛厂路,,北京市丰台区金家村,北京市丰台区金家村,北京市丰台区六里桥街道北京市丰台区金家村,丰台区 · 六里桥街道,丰台区,丰台区 · 六里桥街道,township,high,1,OK
8731aa41cffffff,116.3405228,39.8403545,北京市,北京市,丰台区,110106,玉泉营街道,南三环西路,,嘉恒公寓,嘉恒公寓,北京市丰台区玉泉营街道高家场北路嘉恒公寓,丰台区 · 玉泉营街道,丰台区,丰台区 · 玉泉营街道,township,high,1,OK
8731aa426ffffff,116.3210304,39.9258400,北京市,北京市,海淀区,110108,甘家口街道,阜成路北二街,,北京工商大学阜成路校区东区,北京工商大学阜成路校区东区,北京市海淀区甘家口街道阜成路北二街北京工商大学阜成路校区东区,海淀区 · 甘家口街道,海淀区,海淀区 · 甘家口街道,township,high,1,OK
8731aa421ffffff,116.3665828,39.9254030,北京市,北京市,西城区,110102,新街口街道,阜成门内大街,,北京大学人民医院(白塔寺院区),北京大学人民医院(白塔寺院区),北京市西城区新街口街道西四北头条北京大学人民医院(白塔寺院区),西城区 · 新街口街道,西城区,西城区 · 新街口街道,township,high,1,OK
8731aa406ffffff,116.3236307,39.8746198,北京市,北京市,丰台区,110106,太平桥街道,北京西站南路,,,茗筑大厦,北京市丰台区太平桥街道北京西站南路106号,丰台区 · 太平桥街道,丰台区,丰台区 · 太平桥街道,township,high,1,OK
8731aa50effffff,116.3184248,39.9770880,北京市,北京市,海淀区,110108,中关村街道,海淀南路,,海淀剧院,海淀黄庄(地铁站),北京市海淀区中关村街道大泥湾路海淀剧院,海淀区 · 中关村街道,海淀区,海淀区 · 中关村街道,township,high,1,OK
8731aa543ffffff,116.4551248,39.9756721,北京市,北京市,朝阳区,110105,太阳宫乡,北四环东路,,太阳宫公园,太阳宫公园,北京市朝阳区太阳宫乡太阳宫公园,朝阳区 · 太阳宫乡,朝阳区,朝阳区 · 太阳宫乡,township,high,1,OK
8731aa429ffffff,116.4205186,39.9078072,北京市,北京市,东城区,110101,建国门街道,建国门内大街,,民生金融中心,民生金融中心,北京市东城区建国门街道东单地铁站C东南口民生金融中心,东城区 · 建国门街道,东城区,东城区 · 建国门街道,township,high,1,OK
8731aa55cffffff,116.4407776,39.9587670,北京市,北京市,朝阳区,110105,左家庄街道,左家庄东街,,左家庄北里北区,左家庄北里北区,北京市朝阳区左家庄街道左家庄北里北区,朝阳区 · 左家庄街道,朝阳区,朝阳区 · 左家庄街道,township,high,1,OK
8731aa425ffffff,116.3581383,39.9425518,北京市,北京市,西城区,110102,新街口街道,北顺城街,,玉桃园一区,玉桃园一区,北京市西城区新街口街道玉桃园(一区)玉桃园一区,西城区 · 新街口街道,西城区,西城区 · 新街口街道,township,high,1,OK
8731aa461ffffff,116.5257552,39.9237360,北京市,北京市,朝阳区,110105,平房乡,朝阳北路,,朝阳雅筑,朝阳雅筑,北京市朝阳区平房乡四季星河路朝阳雅筑,朝阳区 · 平房乡,朝阳区,朝阳区 · 平房乡,township,high,1,OK
8731aa404ffffff,116.3379418,39.8915503,北京市,北京市,西城区,110102,广安门外街道,广安门外大街,,北京市第十四中学(高中部),北京市第十四中学(高中部),北京市西城区广安门外街道北京市第十四中学(高中部),西城区 · 广安门外街道,西城区,西城区 · 广安门外街道,township,high,1,OK
8731aa50bffffff,116.3496870,39.9597051,北京市,北京市,海淀区,110108,北太平庄街道,明光路,,,学院南路15号院,北京市海淀区北太平庄街道明光路,海淀区 · 北太平庄街道,海淀区,海淀区 · 北太平庄街道,township,high,1,OK
8731aa466ffffff,116.4803189,39.9242341,北京市,北京市,朝阳区,110105,六里屯街道,朝阳北路,,甜水园东街,甜水园东街,北京市朝阳区六里屯街道甜水园东街,朝阳区 · 六里屯街道,朝阳区,朝阳区 · 六里屯街道,township,high,1,OK
8731aa423ffffff,116.3522592,39.9084780,北京市,北京市,西城区,110102,月坛街道,南礼士路,,复兴门外大街甲7号院,复兴门外大街甲7号院,北京市西城区月坛街道南礼士路辛23复兴门外大街甲7号院,西城区 · 月坛街道,西城区,西城区 · 月坛街道,township,high,1,OK
8731aa55effffff,116.4264368,39.9418591,北京市,北京市,东城区,110101,北新桥街道,东直门内大街,,民安小区南区,民安小区南区,北京市东城区北新桥街道民安小区民安小区南区,东城区 · 北新桥街道,东城区,东城区 · 北新桥街道,township,high,1,OK
8731aa509ffffff,116.3640247,39.9766335,北京市,北京市,海淀区,110108,花园路街道,北土城西路,,北土城西路小区,北土城西路小区,北京市海淀区花园路街道北土城西路北土城西路小区,海淀区 · 花园路街道,海淀区,海淀区 · 花园路街道,township,high,1,OK
8731aa540ffffff,116.4467132,39.9928272,北京市,北京市,朝阳区,110105,望京街道,北四环东路,,望和公园,望京西(地铁站),北京市朝阳区望京街道S11京承高速辅路望和公园,朝阳区 · 望京街道,朝阳区,朝阳区 · 望京街道,township,high,1,OK
8731aa46cffffff,116.5484609,39.9234805,北京市,北京市,朝阳区,110105,高碑店乡,朝阳北路,,全季酒店(北京传媒大学朝阳北路店),全季酒店(北京传媒大学朝阳北路店),北京市朝阳区高碑店乡朝阳北路辅路全季酒店(北京传媒大学朝阳北路店),朝阳区 · 高碑店乡,朝阳区,朝阳区 · 高碑店乡,township,high,1,OK
8731aa424ffffff,116.3353555,39.9427739,北京市,北京市,西城区,110102,展览路街道,西直门外大街,,北京动物园-西区,北京动物园-西区,北京市西城区展览路街道北京动物园北京动物园-西区,西城区 · 展览路街道,西城区,西城区 · 展览路街道,township,high,1,OK
8731aa464ffffff,116.4946605,39.9411272,北京市,北京市,朝阳区,110105,东风乡,华章路,,融创壹号院,泛海·世家,北京市朝阳区东风乡华章路融创壹号院,朝阳区 · 东风乡,朝阳区,朝阳区 · 东风乡,township,high,1,OK
8731aa551ffffff,116.4180174,39.9590081,北京市,北京市,东城区,110101,和平里街道,和平里北街,,喜马拉雅宾馆,喜马拉雅宾馆,北京市东城区和平里街道地坛北里小区喜马拉雅宾馆,东城区 · 和平里街道,东城区,东城区 · 和平里街道,township,high,1,OK
8731aa470ffffff,116.4516544,39.8904395,北京市,北京市,朝阳区,110105,双井街道,广和东里中街,,和平村C区,和平村C区,北京市朝阳区双井街道和平村C区,朝阳区 · 双井街道,朝阳区,朝阳区 · 双井街道,township,high,1,OK
8731aa42effffff,116.3750206,39.9082588,北京市,北京市,西城区,110102,西长安街街道,西单北大街,,西单城市森林公园,西单城市森林公园,北京市西城区西长安街街道西单文化广场西单城市森林公园,西城区 · 西长安街街道,西城区,西城区 · 西长安街街道,township,high,1,OK
8731aa518ffffff,116.2897652,39.9432051,北京市,北京市,海淀区,110108,曙光街道,彰化路,,曙光花园望山园,曙光花园,北京市海淀区曙光街道曙光花园曙光花园望山园,海淀区 · 曙光街道,海淀区,海淀区 · 曙光街道,township,high,1,OK
8731aa553ffffff,116.4036789,39.9420944,北京市,北京市,东城区,110101,安定门街道,大经厂西巷,,,黄瓦增福财神庙,北京市东城区安定门街道大经厂西巷,东城区 · 安定门街道,东城区,东城区 · 安定门街道,township,high,1,OK
8731aa56bffffff,116.5065967,40.0092112,北京市,北京市,朝阳区,110105,崔各庄乡,东辛店中街,,东辛店公园,东辛店公园,北京市朝阳区崔各庄乡东辛店村11排1-8号东辛店公园,朝阳区 · 崔各庄乡,朝阳区,朝阳区 · 崔各庄乡,township,high,1,OK
8731aa463ffffff,116.5114152,39.9068517,北京市,北京市,朝阳区,110105,高碑店乡,惠河南街,,运河壹号A2号楼,运河壹号A2号楼,北京市朝阳区高碑店乡惠河北街运河壹号A2号楼,朝阳区 · 高碑店乡,朝阳区,朝阳区 · 高碑店乡,township,high,1,OK
8731aa552ffffff,116.3809127,39.9423253,北京市,北京市,西城区,110102,什刹海街道,羊房胡同,,后海西沿社区居委会,后海西沿社区居委会,北京市西城区什刹海街道羊房胡同32号后海西沿社区居委会,西城区 · 什刹海街道,西城区,西城区 · 什刹海街道,township,high,1,OK
8731aa54cffffff,116.4922347,39.9923174,北京市,北京市,朝阳区,110105,东湖街道,酒仙桥北路,,,胜瑞斯足球学院(酒仙桥校区),北京市朝阳区东湖街道S12机场高速,朝阳区 · 东湖街道,朝阳区,朝阳区 · 东湖街道,township,high,1,OK
8731aa433ffffff,116.3008657,39.8748231,北京市,北京市,丰台区,110106,六里桥街道,西局西路,,,小井颐园,北京市丰台区六里桥街道小井颐园5号楼,丰台区 · 六里桥街道,丰台区,丰台区 · 六里桥街道,township,high,1,OK
8731aa554ffffff,116.3868121,39.9763997,北京市,北京市,朝阳区,110105,亚运村街道,北土城西路,,元大都城垣遗址公园,元大都7号,北京市朝阳区亚运村街道北土城西路元大都城垣遗址公园,朝阳区 · 亚运村街道,朝阳区,朝阳区 · 亚运村街道,township,high,1,OK
8731aa541ffffff,116.4694782,39.9925745,北京市,北京市,朝阳区,110105,望京街道,广顺南大街,,凯德MALL(望京店),阜通(地铁站),北京市朝阳区望京街道阜通地铁站A2口凯德MALL(望京店),朝阳区 · 望京街道,朝阳区,朝阳区 · 望京街道,township,high,1,OK
8731aa444ffffff,116.4970814,39.8899647,北京市,北京市,朝阳区,110105,南磨房乡,广泰东路,,广华新城·二区,广华新城·二区,北京市朝阳区南磨房乡广华新城·二区,朝阳区 · 南磨房乡,朝阳区,朝阳区 · 南磨房乡,township,high,1,OK
8731aa54effffff,116.4778790,39.9754209,北京市,北京市,朝阳区,110105,将台乡,将台西路,,东方金融中心,东方金融中心,北京市朝阳区将台乡国际大道东方金融中心,朝阳区 · 将台乡,朝阳区,朝阳区 · 将台乡,township,high,1,OK
8731aa503ffffff,116.2956124,39.9773086,北京市,北京市,海淀区,110108,海淀街道,北四环西路,,万柳高尔夫俱乐部,万柳高尔夫俱乐部,北京市海淀区海淀街道万柳高尔夫俱乐部,海淀区 · 海淀街道,海淀区,海淀区 · 海淀街道,township,high,1,OK
8731aa51bffffff,116.2982417,39.9260520,北京市,北京市,海淀区,110108,八里庄街道,阜成路,,裕惠大厦,裕惠大厦,北京市海淀区八里庄街道蓝靛厂南路裕惠大厦,海淀区 · 八里庄街道,海淀区,海淀区 · 八里庄街道,township,high,1,OK
8731aa469ffffff,116.5795004,39.9060896,北京市,北京市,朝阳区,110105,三间房乡,通惠河南路,,康惠园三号院,康惠园三号院,北京市朝阳区三间房乡九名月艺术培训中心康惠园三号院,朝阳区 · 三间房乡,朝阳区,朝阳区 · 三间房乡,township,high,1,OK
8731aa436ffffff,116.2696150,39.8921643,北京市,北京市,丰台区,110106,青塔街道,西四环中路,,青塔东里小区润景阁,青塔东里小区润景阁,北京市丰台区青塔街道青塔东里小区润景阁,丰台区 · 青塔街道,丰台区,丰台区 · 青塔街道,township,high,1,OK
8731aa51affffff,116.2754448,39.9262595,北京市,北京市,海淀区,110108,八里庄街道,西四环北路,,北京印象,北京印象,北京市海淀区八里庄街道西四环北路北京印象,海淀区 · 八里庄街道,海淀区,海淀区 · 八里庄街道,township,high,1,OK
8731aa56affffff,116.4838378,40.0094741,北京市,北京市,朝阳区,110105,东湖街道,望京北路,,利泽东街东口三角地,利泽东街东口三角地,北京市朝阳区东湖街道望京北路利泽东街东口三角地,朝阳区 · 东湖街道,朝阳区,朝阳区 · 东湖街道,township,high,1,OK
8731aa471ffffff,116.4743720,39.8902043,北京市,北京市,朝阳区,110105,劲松街道,营盘沟路,,风度柏林,风度柏林,北京市朝阳区劲松街道风度柏林,朝阳区 · 劲松街道,朝阳区,朝阳区 · 劲松街道,township,high,1,OK
8731aa473ffffff,116.4600468,39.8733087,北京市,北京市,朝阳区,110105,潘家园街道,东三环南路,,翌景嘉园,翌景嘉园,北京市朝阳区潘家园街道度一学堂翌景嘉园,朝阳区 · 潘家园街道,朝阳区,朝阳区 · 潘家园街道,township,high,1,OK
8731aa51cffffff,116.2812818,39.9603627,北京市,北京市,海淀区,110108,曙光街道,蓝靛厂中路,,时雨园,时雨园,北京市海淀区曙光街道蓝靛厂时雨园,海淀区 · 曙光街道,海淀区,海淀区 · 曙光街道,township,high,1,OK
8731aa420ffffff,116.3438108,39.9256237,北京市,北京市,西城区,110102,展览路街道,展览馆路,,国家市场监督管理总局招待所,驿生活HOTEL,北京市西城区展览路街道西域王牛肉面馆国家市场监督管理总局招待所,西城区 · 展览路街道,西城区,西城区 · 展览路街道,township,high,1,OK
8731aa501ffffff,116.3099492,39.9942518,北京市,北京市,海淀区,110108,燕园街道,颐和园路,,北京大学未名湖,北京大学未名湖,北京市海淀区燕园街道北京大学北京大学未名湖,海淀区 · 燕园街道,海淀区,海淀区 · 燕园街道,township,high,1,OK
8731aa41dffffff,116.3632583,39.8401497,北京市,北京市,丰台区,110106,马家堡街道,嘉园路,,北京西鹤年堂中医医院,北京西鹤年堂中医医院,北京市丰台区马家堡街道角门路北京西鹤年堂中医医院,丰台区 · 马家堡街道,丰台区,丰台区 · 马家堡街道,township,high,1,OK
8731aa42affffff,116.3834517,39.8911191,北京市,北京市,西城区,110102,椿树街道,梁家园胡同,,北京第一实验小学虎坊桥校区,北京第一实验小学虎坊桥校区,北京市西城区椿树街道梁家园东胡同北京第一实验小学虎坊桥校区,西城区 · 椿树街道,西城区,西城区 · 椿树街道,township,high,1,OK
8731aa409ffffff,116.4230148,39.8566340,北京市,北京市,丰台区,110106,东铁匠营街道,南三环东路,,北京市丰台康复医院,北京市丰台康复医院,北京市丰台区东铁匠营街道北京市丰台康复医院,丰台区 · 东铁匠营街道,丰台区,丰台区 · 东铁匠营街道,township,high,1,OK
8731aa405ffffff,116.3607009,39.8913369,北京市,北京市,西城区,110102,广安门内街道,广安门内大街,,报国寺1号院,报国寺1号院,北京市西城区广安门内街道报国寺东夹道1号楼报国寺1号院,西城区 · 广安门内街道,西城区,西城区 · 广安门内街道,township,high,1,OK
8731aa52cffffff,116.3301671,40.0453044,北京市,北京市,海淀区,110108,清河街道,安宁庄东路,,兴安商务办公区,兴安商务办公区,北京市海淀区清河街道安宁庄东路16号兴安商务办公区,海淀区 · 清河街道,海淀区,海淀区 · 清河街道,township,high,1,OK
8731aa521ffffff,116.3073285,40.0455395,北京市,北京市,海淀区,110108,上地街道,上地东路,,中国知识产权培训中心,中国知识产权培训中心,北京市海淀区上地街道创业路中国知识产权培训中心,海淀区 · 上地街道,海淀区,海淀区 · 上地街道,township,high,1,OK
8731aa46effffff,116.5341186,39.9066020,北京市,北京市,朝阳区,110105,高碑店乡,惠河南街,,北京市第十七中学(陶家湾校区初中部),北京市第十七中学(陶家湾校区初中部),北京市朝阳区高碑店乡惠河南街107号北京市第十七中学(陶家湾校区初中部),朝阳区 · 高碑店乡,朝阳区,朝阳区 · 高碑店乡,township,high,1,OK
8731aa476ffffff,116.4289284,39.8906704,北京市,北京市,东城区,110101,体育馆路街道,东壁街,,特吉特菜市场,幸福家园3期,北京市东城区体育馆路街道东壁街4号特吉特菜市场,东城区 · 体育馆路街道,东城区,东城区 · 体育馆路街道,township,high,1,OK
8731aa460ffffff,116.5030412,39.9239872,北京市,北京市,朝阳区,110105,六里屯街道,朝阳北路,,润枫·嘉尚,润枫·嘉尚,北京市朝阳区六里屯街道润枫·嘉尚(东门),朝阳区 · 六里屯街道,朝阳区,朝阳区 · 六里屯街道,township,high,1,OK
8731aa403ffffff,116.3548262,39.8572787,北京市,北京市,丰台区,110106,右安门街道,西铁营西路,,亚林西居住区西铁营中路9号院,亚林西居住区西铁营中路9号院,北京市丰台区右安门街道西铁营西路9号院亚林西居住区西铁营中路9号院,丰台区 · 右安门街道,丰台区,丰台区 · 右安门街道,township,high,1,OK
8731aa408ffffff,116.4002935,39.8568533,北京市,北京市,丰台区,110106,大红门街道,南三环中路,,,木樨园地铁站C西南口,北京市丰台区大红门街道南苑路,丰台区 · 大红门街道,丰台区,丰台区 · 大红门街道,township,high,1,OK
8731aa454ffffff,116.4457278,39.8564104,北京市,北京市,丰台区,110106,成寿寺街道,成寿寺路,,新业广场,邮电出版大厦,北京市丰台区成寿寺街道成寿寺路新业广场,丰台区 · 成寿寺街道,丰台区,丰台区 · 成寿寺街道,township,high,1,OK
