spatial_unit,pickup_count,avg_distance,avg_duration_min,avg_price,short_trip_ratio,late_pickup_ratio,weekend_pickup_ratio,dropoff_count,active_night_hours,active_nights,max_hourly_activity,weekday_avg_activity,weekend_avg_activity,total_activity,inflow_outflow_balance,activity_persistence,weekend_boost,night_vitality_score,cluster_id,region_type,spatial_unit_type,zone,borough,score_ratio,bar_density,restaurant_density,subway_distance,entertainment_poi_count,tourism_poi_count,poi_diversity,poi_total_count,poi_meaningful_count,poi_category_count,nightlife_poi_count,transport_poi_count,business_area_count,aoi_count,avg_poi_distance,long_trip_ratio,airport_like_score,station_like_score,hub_penalty,is_transport_hub,adjusted_night_vitality_score,source_spatial_unit,source_zone
8731aa566ffffff,287.0,17.59240801393728,48.61006968641115,0.0,0.0278745644599303,0.397212543554007,0.4564459930313589,255.0,42,6,31,9.392857142857142,19.928571428571427,542.0,-0.059040590405904,1.0,2.013745704467354,80.38,4,mixed_evening_area,h3,活动网格 8731aa566ffffff,Beijing,0.9784540474741326,0.6389,0.4467,1.48,10.0,5.0,0.812,30.0,30.0,7.0,10.0,4.0,3.0,1.0,186.65,1.0,0.45,0.3542,8.1,False,72.28,8731aa566ffffff,活动网格 8731aa566ffffff
8731aa50affffff,1433.0,17.1161729239358,51.72352407536636,0.0,0.0111653872993719,0.2930914166085136,0.4319609211444522,1371.0,42,6,150,50.96428571428572,98.35714285714286,2804.0,-0.0221112696148359,1.0,1.9120274914089348,80.37,2,nightlife_core,h3,活动网格 8731aa50affffff,Beijing,0.9783323189287888,0.1944,0.0667,1.72,2.0,17.0,0.616,30.0,30.0,6.0,2.0,1.0,3.0,3.0,114.91,1.0,0.45,0.3517,8.1,False,72.27,8731aa50affffff,活动网格 8731aa50affffff
8731aa529ffffff,369.0,18.630262330623307,50.0869647696477,0.0,0.035230352303523,0.3116531165311653,0.4769647696476964,407.0,42,6,41,14.25,26.928571428571427,776.0,0.0489690721649484,1.0,1.831381733021077,80.33,4,mixed_evening_area,h3,活动网格 8731aa529ffffff,Beijing,0.9778454047474132,0.25,0.1333,1.48,3.0,6.0,0.716,30.0,29.0,6.0,3.0,4.0,3.0,1.0,351.26,1.0,0.45,0.3553,8.1,False,72.23,8731aa529ffffff,活动网格 8731aa529ffffff
8731aa55affffff,2589.0,16.10329300888374,51.489424488219385,0.0,0.0193124758594051,0.3565083043646195,0.3982232522209347,2467.0,42,6,253,95.32142857142856,170.5,5056.0,-0.024129746835443,1.0,1.7804968483500183,80.33,2,nightlife_core,h3,活动网格 8731aa55affffff,Beijing,0.9778454047474132,0.1389,0.0233,1.32,1.0,1.0,0.578,30.0,29.0,5.0,1.0,6.0,3.0,1.0,206.99,1.0,0.45,0.3529,8.1,False,72.23,8731aa55affffff,活动网格 8731aa55affffff
8731aa55dffffff,2269.0,16.64173393565447,50.72931687968268,0.0,0.0149845747025121,0.3124724548259145,0.4213309828118113,2205.0,42,6,224,82.46428571428571,154.64285714285714,4474.0,-0.0143048725972284,1.0,1.8647839109970048,80.32,2,nightlife_core,h3,活动网格 8731aa55dffffff,Beijing,0.9777236762020692,0.5278,0.1333,1.8,8.0,1.0,0.589,30.0,30.0,5.0,8.0,0.0,3.0,4.0,118.69,1.0,0.45,0.3522,8.1,False,72.22,8731aa55dffffff,活动网格 8731aa55dffffff
8731aa555ffffff,1615.0,16.685750959752323,50.94055108359134,0.0,0.0229102167182662,0.2755417956656347,0.4489164086687306,1462.0,42,6,196,56.0,107.78571428571428,3077.0,-0.0497237569060773,1.0,1.9085213032581447,80.25,2,nightlife_core,h3,活动网格 8731aa555ffffff,Beijing,0.9768715763846622,0.3056,0.0,1.48,4.0,6.0,0.62,30.0,30.0,5.0,4.0,4.0,3.0,1.0,203.87,1.0,0.45,0.3534,8.1,False,72.15,8731aa555ffffff,活动网格 8731aa555ffffff
8731aa542ffffff,1031.0,16.86610572259942,50.755509214354994,0.0,0.0126091173617846,0.3094083414161008,0.4161008729388942,953.0,42,6,99,36.42857142857143,68.85714285714286,1984.0,-0.0393145161290322,1.0,1.866412213740458,80.25,2,nightlife_core,h3,活动网格 8731aa542ffffff,Beijing,0.9768715763846622,0.4167,0.2,1.4,6.0,7.0,0.812,30.0,29.0,7.0,6.0,5.0,3.0,1.0,208.8,1.0,0.45,0.3519,8.1,False,72.15,8731aa542ffffff,活动网格 8731aa542ffffff
8731aa548ffffff,866.0,15.279529445727484,49.12051963048499,0.0,0.0542725173210161,0.3013856812933025,0.4122401847575058,915.0,42,6,91,33.214285714285715,60.785714285714285,1781.0,0.0275126333520494,1.0,1.8058455114822547,80.24,2,nightlife_core,h3,活动网格 8731aa548ffffff,Beijing,0.9767498478393182,0.6667,0.4667,1.64,11.0,2.0,0.781,30.0,27.0,7.0,11.0,2.0,2.0,3.0,117.29,0.94,0.423,0.3371,7.61,False,72.63,8731aa548ffffff,活动网格 8731aa548ffffff
8731aa51dffffff,1061.0,17.810150612629595,52.08153628652215,0.0,0.0150801131008482,0.2827521206409048,0.4505183788878417,880.0,42,6,122,35.25,68.14285714285714,1941.0,-0.0932509015971148,1.0,1.907389162561576,80.23,2,nightlife_core,h3,活动网格 8731aa51dffffff,Beijing,0.9766281192939744,0.3056,0.0667,1.64,4.0,8.0,0.779,30.0,27.0,7.0,4.0,2.0,3.0,2.0,126.76,1.0,0.45,0.3523,8.1,False,72.13,8731aa51dffffff,活动网格 8731aa51dffffff
8731aa556ffffff,1445.0,16.532953840830448,51.13939100346021,0.0,0.0193771626297577,0.2802768166089965,0.4664359861591695,1371.0,42,6,164,51.35714285714285,98.42857142857144,2816.0,-0.026278409090909,1.0,1.899045020463848,80.18,2,nightlife_core,h3,活动网格 8731aa556ffffff,Beijing,0.9760194765672552,0.25,0.09,1.32,3.0,7.0,0.814,30.0,30.0,8.0,3.0,6.0,3.0,3.0,126.51,1.0,0.45,0.3529,8.1,False,72.08,8731aa556ffffff,活动网格 8731aa556ffffff
8731aa576ffffff,406.0,17.596668965517242,50.18918719211823,0.0,0.0098522167487684,0.2980295566502463,0.4113300492610837,379.0,42,6,45,14.214285714285714,27.642857142857142,785.0,-0.0343949044585987,1.0,1.8826291079812207,80.17,4,mixed_evening_area,h3,活动网格 8731aa576ffffff,Beijing,0.9758977480219112,0.25,0.09,1.8,3.0,4.0,0.629,30.0,28.0,6.0,3.0,0.0,3.0,1.0,173.86,1.0,0.45,0.3515,8.1,False,72.07,8731aa576ffffff,活动网格 8731aa576ffffff
8731aa508ffffff,996.0,16.24344658634538,51.581726907630525,0.0,0.0140562248995983,0.2439759036144578,0.4578313253012048,927.0,42,6,130,34.142857142857146,69.07142857142857,1923.0,-0.0358814352574103,1.0,1.99390243902439,80.13,2,nightlife_core,h3,活动网格 8731aa508ffffff,Beijing,0.9754108338405356,0.4167,0.2667,1.32,6.0,2.0,0.698,30.0,30.0,6.0,6.0,6.0,3.0,0.0,191.02,1.0,0.45,0.3521,8.1,False,72.03,8731aa508ffffff,活动网格 8731aa508ffffff
8731aa422ffffff,1186.0,16.18363524451939,51.45731028667791,0.0,0.0185497470489038,0.2698145025295109,0.4494097807757167,1044.0,42,6,130,40.5,78.28571428571429,2230.0,-0.063677130044843,1.0,1.9104991394148023,80.11,2,nightlife_core,h3,活动网格 8731aa422ffffff,Beijing,0.9751673767498478,0.3611,0.0233,1.72,5.0,4.0,0.686,30.0,29.0,6.0,5.0,1.0,3.0,2.0,180.79,1.0,0.45,0.3528,8.1,False,72.01,8731aa422ffffff,活动网格 8731aa422ffffff
8731aa428ffffff,973.0,16.63608211716341,50.6225282631038,0.0,0.0174717368961973,0.2990750256937307,0.4419321685508736,798.0,42,6,96,32.57142857142857,61.35714285714285,1771.0,-0.0988142292490118,1.0,1.8574468085106384,80.08,2,nightlife_core,h3,活动网格 8731aa428ffffff,Beijing,0.974802191113816,1.0,0.0667,1.0,19.0,19.0,0.429,30.0,30.0,4.0,19.0,10.0,3.0,3.0,145.69,1.0,0.45,0.3526,8.1,False,71.98,8731aa428ffffff,活动网格 8731aa428ffffff
8731aa573ffffff,984.0,17.60547418699187,51.47070121951219,0.0,0.0132113821138211,0.2550813008130081,0.4369918699186992,843.0,42,6,119,32.857142857142854,64.78571428571429,1827.0,-0.077175697865353,1.0,1.9430379746835449,80.08,2,nightlife_core,h3,活动网格 8731aa573ffffff,Beijing,0.974802191113816,0.8611,0.4,1.64,14.0,1.0,0.7,30.0,28.0,6.0,14.0,2.0,3.0,6.0,110.23,1.0,0.45,0.352,8.1,False,71.98,8731aa573ffffff,活动网格 8731aa573ffffff
8731aa5a9ffffff,575.0,16.156069739130437,49.62681739130434,0.0,0.0226086956521739,0.3252173913043478,0.408695652173913,526.0,42,6,57,20.5,37.642857142857146,1101.0,-0.0445049954586739,1.0,1.79734219269103,80.04,4,mixed_evening_area,h3,活动网格 8731aa5a9ffffff,Beijing,0.9743152769324408,0.5556,0.2,1.8,9.0,2.0,0.567,30.0,30.0,5.0,9.0,0.0,2.0,2.0,133.75,1.0,0.45,0.3534,8.1,False,71.94,8731aa5a9ffffff,活动网格 8731aa5a9ffffff
8731aa54affffff,866.0,16.30969584295612,49.15511547344111,0.0,0.0450346420323325,0.3244803695150115,0.4284064665127021,820.0,42,6,88,31.892857142857142,56.642857142857146,1686.0,-0.0272835112692763,1.0,1.7524429967426711,79.98,2,nightlife_core,h3,活动网格 8731aa54affffff,Beijing,0.9735849056603774,0.3056,0.1567,1.08,4.0,2.0,0.848,30.0,27.0,8.0,4.0,9.0,3.0,1.0,186.89,1.0,0.45,0.3568,8.1,False,71.88,8731aa54affffff,活动网格 8731aa54affffff
8731aa558ffffff,2143.0,16.178731451236587,51.335221651889874,0.0,0.0214652356509566,0.3439104059729351,0.4111059262715819,2035.0,42,6,193,79.25,139.92857142857142,4178.0,-0.0258496888463379,1.0,1.7561192701379615,79.94,2,nightlife_core,h3,活动网格 8731aa558ffffff,Beijing,0.9730979914790018,0.4167,0.1567,1.4,6.0,1.0,0.828,30.0,28.0,8.0,6.0,5.0,3.0,1.0,141.82,1.0,0.45,0.3532,8.1,False,71.84,8731aa558ffffff,活动网格 8731aa558ffffff
8731aa572ffffff,897.0,17.726716610925305,50.65537346711261,0.0,0.0178372352285395,0.2653288740245262,0.4425863991081382,849.0,42,6,96,31.785714285714285,61.142857142857146,1746.0,-0.0274914089347079,1.0,1.895424836601308,79.89,2,nightlife_core,h3,活动网格 8731aa572ffffff,Beijing,0.9724893487522824,0.0833,0.0,1.32,0.0,7.0,0.563,30.0,30.0,4.0,0.0,6.0,3.0,4.0,102.75,1.0,0.45,0.3527,8.1,False,71.79,8731aa572ffffff,活动网格 8731aa572ffffff
8731aa50cffffff,1011.0,16.827187240356082,51.3760237388724,0.0,0.0187932739861523,0.3333333333333333,0.3976261127596439,929.0,42,6,89,36.535714285714285,65.5,1940.0,-0.0422680412371134,1.0,1.7716460513796386,79.87,2,nightlife_core,h3,活动网格 8731aa50cffffff,Beijing,0.9722458916615946,0.0556,0.0,1.8,0.0,3.0,0.388,30.0,29.0,3.0,0.0,0.0,2.0,5.0,132.97,1.0,0.45,0.3528,8.1,False,71.77,8731aa50cffffff,活动网格 8731aa50cffffff
8731aa435ffffff,1510.0,16.772926026490065,51.40250993377483,0.0,0.0132450331125827,0.2278145695364238,0.4569536423841059,1273.0,42,6,179,48.5,101.78571428571428,2783.0,-0.0851598993891484,1.0,2.076479076479077,79.86,2,nightlife_core,h3,活动网格 8731aa435ffffff,Beijing,0.9721241631162508,0.5,0.3367,1.72,8.0,5.0,0.793,30.0,30.0,7.0,8.0,1.0,2.0,6.0,89.78,1.0,0.45,0.352,8.1,False,71.76,8731aa435ffffff,活动网格 8731aa435ffffff
8731aa415ffffff,437.0,17.54594347826087,49.40576659038901,0.0,0.0251716247139588,0.3020594965675057,0.4439359267734554,369.0,42,6,42,14.928571428571429,27.714285714285715,806.0,-0.0843672456575682,1.0,1.802690582959641,79.75,4,mixed_evening_area,h3,活动网格 8731aa415ffffff,Beijing,0.970785149117468,0.5833,0.2667,1.8,9.0,5.0,0.664,30.0,29.0,5.0,9.0,0.0,3.0,2.0,174.85,1.0,0.45,0.3538,8.1,False,71.65,8731aa415ffffff,活动网格 8731aa415ffffff
8731aa546ffffff,1102.0,16.994951814882032,51.00996370235935,0.0,0.029038112522686,0.2686025408348457,0.4355716878402904,1152.0,42,6,127,41.57142857142857,77.85714285714286,2254.0,0.0221827861579414,1.0,1.8523489932885908,79.73,2,nightlife_core,h3,活动网格 8731aa546ffffff,Beijing,0.9705416920267804,0.4722,0.2667,1.8,7.0,6.0,0.651,30.0,30.0,6.0,7.0,0.0,3.0,4.0,128.59,1.0,0.45,0.3544,8.1,False,71.63,8731aa546ffffff,活动网格 8731aa546ffffff
8731aa430ffffff,530.0,16.569304150943395,50.19379245283019,0.0,0.0264150943396226,0.2547169811320754,0.4490566037735849,474.0,42,6,60,18.25,35.214285714285715,1004.0,-0.0557768924302788,1.0,1.88126159554731,79.73,4,mixed_evening_area,h3,活动网格 8731aa430ffffff,Beijing,0.9705416920267804,0.25,0.0667,1.16,3.0,3.0,0.738,30.0,27.0,7.0,3.0,8.0,3.0,2.0,219.27,1.0,0.45,0.354,8.1,False,71.63,8731aa430ffffff,活动网格 8731aa430ffffff
8731aa41cffffff,348.0,18.196103735632185,47.04758620689655,0.0,0.0172413793103448,0.3735632183908046,0.396551724137931,282.0,42,6,36,11.821428571428571,21.357142857142858,630.0,-0.1047619047619047,1.0,1.743732590529248,79.72,4,mixed_evening_area,h3,活动网格 8731aa41cffffff,Beijing,0.9704199634814364,0.6667,0.2467,1.8,11.0,4.0,0.785,30.0,30.0,7.0,11.0,0.0,2.0,1.0,248.79,1.0,0.45,0.3526,8.1,False,71.62,8731aa41cffffff,活动网格 8731aa41cffffff
8731aa426ffffff,1022.0,16.870910665362036,50.64470645792564,0.0,0.0136986301369863,0.2700587084148728,0.4393346379647749,887.0,42,6,119,35.0,66.35714285714286,1909.0,-0.0707176532215819,1.0,1.871031746031746,79.68,2,nightlife_core,h3,活动网格 8731aa426ffffff,Beijing,0.9699330493000607,0.4722,0.0667,1.8,7.0,8.0,0.674,30.0,30.0,6.0,7.0,0.0,3.0,3.0,204.91,1.0,0.45,0.3521,8.1,False,71.58,8731aa426ffffff,活动网格 8731aa426ffffff
8731aa421ffffff,1384.0,16.127800650289018,50.971380057803465,0.0,0.0195086705202312,0.2947976878612717,0.4638728323699422,1174.0,42,6,135,47.67857142857143,87.35714285714286,2558.0,-0.0820953870211102,1.0,1.8151137197358769,79.66,2,nightlife_core,h3,活动网格 8731aa421ffffff,Beijing,0.969689592209373,0.8611,0.1333,1.72,14.0,15.0,0.757,30.0,29.0,7.0,14.0,1.0,3.0,3.0,127.79,1.0,0.45,0.3529,8.1,False,71.56,8731aa421ffffff,活动网格 8731aa421ffffff
8731aa406ffffff,628.0,15.589020859872612,49.38804140127388,0.0,0.0350318471337579,0.2579617834394904,0.4267515923566879,577.0,42,6,66,22.142857142857142,41.785714285714285,1205.0,-0.0423236514522821,1.0,1.8487654320987648,79.62,4,mixed_evening_area,h3,活动网格 8731aa406ffffff,Beijing,0.9692026780279976,1.0,0.65,1.72,17.0,2.0,0.81,30.0,30.0,7.0,17.0,1.0,3.0,0.0,221.47,0.9658,0.4346,0.3433,7.82,False,71.8,8731aa406ffffff,活动网格 8731aa406ffffff
8731aa50effffff,1057.0,17.572106717123933,51.75838221381268,0.0,0.0179754020813623,0.2478713339640492,0.4247871333964049,975.0,42,6,112,37.10714285714285,70.92857142857143,2032.0,-0.0403543307086614,1.0,1.8875351452671043,79.54,2,nightlife_core,h3,活动网格 8731aa50effffff,Beijing,0.9682288496652464,0.3056,0.2,1.4,4.0,6.0,0.73,30.0,30.0,6.0,4.0,5.0,3.0,3.0,137.25,1.0,0.45,0.3527,8.1,False,71.44,8731aa50effffff,活动网格 8731aa50effffff
8731aa543ffffff,696.0,17.009406609195402,51.24160919540229,0.0,0.0158045977011494,0.2557471264367816,0.4683908045977011,587.0,42,6,89,23.428571428571427,44.785714285714285,1283.0,-0.0849571317225253,1.0,1.8742690058479528,79.51,4,mixed_evening_area,h3,活动网格 8731aa543ffffff,Beijing,0.9678636640292148,0.3333,0.0667,1.24,5.0,6.0,0.885,30.0,29.0,8.0,5.0,7.0,2.0,1.0,295.07,1.0,0.45,0.3524,8.1,False,71.41,8731aa543ffffff,活动网格 8731aa543ffffff
8731aa429ffffff,3425.0,16.082344408759123,51.80149489051095,0.0,0.0178102189781021,0.3124087591240876,0.3991240875912408,3036.0,42,6,303,122.25,217.0,6461.0,-0.0602073982355672,1.0,1.768762677484787,79.5,2,nightlife_core,h3,活动网格 8731aa429ffffff,Beijing,0.9677419354838708,0.1944,0.0667,1.24,2.0,7.0,0.698,30.0,29.0,6.0,2.0,7.0,3.0,2.0,112.71,1.0,0.45,0.3527,8.1,False,71.4,8731aa429ffffff,活动网格 8731aa429ffffff
8731aa55cffffff,1935.0,16.399087906976746,50.42575710594315,0.0,0.0289405684754521,0.289922480620155,0.4160206718346253,1816.0,42,6,191,70.53571428571429,126.85714285714286,3751.0,-0.0317248733671021,1.0,1.7873190214677983,79.48,2,nightlife_core,h3,活动网格 8731aa55cffffff,Beijing,0.9674984783931831,0.4167,0.2,1.72,6.0,10.0,0.668,30.0,29.0,6.0,6.0,1.0,3.0,3.0,94.05,1.0,0.45,0.3543,8.1,False,71.38,8731aa55cffffff,活动网格 8731aa55cffffff
8731aa425ffffff,2213.0,16.536408992318123,51.31037053773159,0.0,0.0189787618617261,0.2792589245368278,0.4238590149118843,2025.0,42,6,231,79.03571428571429,144.64285714285714,4238.0,-0.044360547428032,1.0,1.8197233377956268,79.44,2,nightlife_core,h3,活动网格 8731aa425ffffff,Beijing,0.9670115642118076,0.1389,0.0,1.4,1.0,5.0,0.602,30.0,30.0,5.0,1.0,5.0,3.0,3.0,180.41,1.0,0.45,0.3528,8.1,False,71.34,8731aa425ffffff,活动网格 8731aa425ffffff
