spatial_unit,night_date,hour,day_of_week,is_weekend,pickup_count,dropoff_count,activity_count
8731aa1a6ffffff,2008-02-02,0,5,True,0,1,1
8731aa1a8ffffff,2008-02-02,0,5,True,1,2,3
8731aa1a9ffffff,2008-02-02,0,5,True,0,1,1
8731aa1aaffffff,2008-02-02,0,5,True,0,2,2
8731aa1abffffff,2008-02-02,0,5,True,0,1,1
8731aa1adffffff,2008-02-02,0,5,True,1,1,2
8731aa1b0ffffff,2008-02-02,0,5,True,0,1,1
8731aa1b4ffffff,2008-02-02,0,5,True,0,1,1
8731aa1b5ffffff,2008-02-02,0,5,True,0,1,1
8731aa1b6ffffff,2008-02-02,0,5,True,0,1,1
8731aa309ffffff,2008-02-02,0,5,True,0,1,1
8731aa318ffffff,2008-02-02,0,5,True,1,1,2
8731aa335ffffff,2008-02-02,0,5,True,0,1,1
8731aa344ffffff,2008-02-02,0,5,True,0,1,1
8731aa354ffffff,2008-02-02,0,5,True,0,1,1
8731aa366ffffff,2008-02-02,0,5,True,1,0,1
8731aa372ffffff,2008-02-02,0,5,True,1,0,1
8731aa374ffffff,2008-02-02,0,5,True,0,1,1
8731aa376ffffff,2008-02-02,0,5,True,0,1,1
8731aa400ffffff,2008-02-02,0,5,True,25,22,47
8731aa401ffffff,2008-02-02,0,5,True,52,36,88
8731aa402ffffff,2008-02-02,0,5,True,9,15,24
8731aa403ffffff,2008-02-02,0,5,True,25,14,39
8731aa404ffffff,2008-02-02,0,5,True,76,61,137
8731aa405ffffff,2008-02-02,0,5,True,58,50,108
8731aa406ffffff,2008-02-02,0,5,True,23,20,43
8731aa408ffffff,2008-02-02,0,5,True,37,33,70
8731aa409ffffff,2008-02-02,0,5,True,47,50,97
8731aa40affffff,2008-02-02,0,5,True,26,18,44
8731aa40bffffff,2008-02-02,0,5,True,13,16,29
8731aa40cffffff,2008-02-02,0,5,True,25,23,48
8731aa40dffffff,2008-02-02,0,5,True,35,34,69
8731aa40effffff,2008-02-02,0,5,True,41,42,83
8731aa410ffffff,2008-02-02,0,5,True,13,5,18
8731aa411ffffff,2008-02-02,0,5,True,10,4,14
8731aa412ffffff,2008-02-02,0,5,True,1,2,3
8731aa413ffffff,2008-02-02,0,5,True,0,1,1
8731aa414ffffff,2008-02-02,0,5,True,14,14,28
8731aa415ffffff,2008-02-02,0,5,True,11,11,22
8731aa416ffffff,2008-02-02,0,5,True,2,3,5
8731aa418ffffff,2008-02-02,0,5,True,6,6,12
8731aa419ffffff,2008-02-02,0,5,True,1,2,3
8731aa41affffff,2008-02-02,0,5,True,3,2,5
8731aa41bffffff,2008-02-02,0,5,True,0,3,3
8731aa41cffffff,2008-02-02,0,5,True,8,10,18
8731aa41dffffff,2008-02-02,0,5,True,12,14,26
8731aa41effffff,2008-02-02,0,5,True,2,0,2
8731aa420ffffff,2008-02-02,0,5,True,33,24,57
8731aa421ffffff,2008-02-02,0,5,True,40,31,71
8731aa422ffffff,2008-02-02,0,5,True,48,29,77
8731aa423ffffff,2008-02-02,0,5,True,69,70,139
8731aa424ffffff,2008-02-02,0,5,True,41,20,61
8731aa425ffffff,2008-02-02,0,5,True,59,58,117
8731aa426ffffff,2008-02-02,0,5,True,28,22,50
8731aa428ffffff,2008-02-02,0,5,True,37,26,63
8731aa429ffffff,2008-02-02,0,5,True,91,81,172
8731aa42affffff,2008-02-02,0,5,True,58,47,105
8731aa42bffffff,2008-02-02,0,5,True,22,36,58
8731aa42cffffff,2008-02-02,0,5,True,17,24,41
8731aa42dffffff,2008-02-02,0,5,True,23,60,83
8731aa42effffff,2008-02-02,0,5,True,60,56,116
8731aa430ffffff,2008-02-02,0,5,True,16,18,34
8731aa431ffffff,2008-02-02,0,5,True,95,116,211
8731aa432ffffff,2008-02-02,0,5,True,6,13,19
8731aa433ffffff,2008-02-02,0,5,True,15,18,33
8731aa434ffffff,2008-02-02,0,5,True,48,22,70
8731aa435ffffff,2008-02-02,0,5,True,36,37,73
8731aa436ffffff,2008-02-02,0,5,True,28,16,44
8731aa440ffffff,2008-02-02,0,5,True,11,8,19
8731aa441ffffff,2008-02-02,0,5,True,3,2,5
8731aa442ffffff,2008-02-02,0,5,True,4,5,9
8731aa443ffffff,2008-02-02,0,5,True,1,1,2
8731aa444ffffff,2008-02-02,0,5,True,15,10,25
8731aa445ffffff,2008-02-02,0,5,True,1,1,2
8731aa446ffffff,2008-02-02,0,5,True,18,18,36
8731aa449ffffff,2008-02-02,0,5,True,2,1,3
8731aa44affffff,2008-02-02,0,5,True,0,1,1
8731aa44cffffff,2008-02-02,0,5,True,0,2,2
8731aa44effffff,2008-02-02,0,5,True,0,2,2
8731aa450ffffff,2008-02-02,0,5,True,6,7,13
8731aa451ffffff,2008-02-02,0,5,True,4,2,6
8731aa452ffffff,2008-02-02,0,5,True,1,6,7
8731aa453ffffff,2008-02-02,0,5,True,5,5,10
8731aa454ffffff,2008-02-02,0,5,True,20,26,46
8731aa455ffffff,2008-02-02,0,5,True,3,5,8
8731aa456ffffff,2008-02-02,0,5,True,8,8,16
8731aa458ffffff,2008-02-02,0,5,True,3,1,4
8731aa45affffff,2008-02-02,0,5,True,4,2,6
8731aa45bffffff,2008-02-02,0,5,True,3,2,5
8731aa45cffffff,2008-02-02,0,5,True,0,1,1
8731aa45dffffff,2008-02-02,0,5,True,0,1,1
8731aa45effffff,2008-02-02,0,5,True,2,0,2
8731aa460ffffff,2008-02-02,0,5,True,33,32,65
8731aa461ffffff,2008-02-02,0,5,True,25,22,47
8731aa462ffffff,2008-02-02,0,5,True,63,52,115
8731aa463ffffff,2008-02-02,0,5,True,19,20,39
8731aa464ffffff,2008-02-02,0,5,True,15,13,28
8731aa465ffffff,2008-02-02,0,5,True,7,9,16
8731aa466ffffff,2008-02-02,0,5,True,63,48,111
8731aa468ffffff,2008-02-02,0,5,True,16,10,26
8731aa469ffffff,2008-02-02,0,5,True,7,10,17
8731aa46bffffff,2008-02-02,0,5,True,0,1,1
8731aa46cffffff,2008-02-02,0,5,True,12,11,23
8731aa46dffffff,2008-02-02,0,5,True,8,12,20
8731aa46effffff,2008-02-02,0,5,True,10,8,18
8731aa470ffffff,2008-02-02,0,5,True,72,52,124
8731aa471ffffff,2008-02-02,0,5,True,35,28,63
8731aa472ffffff,2008-02-02,0,5,True,29,34,63
8731aa473ffffff,2008-02-02,0,5,True,40,41,81
8731aa474ffffff,2008-02-02,0,5,True,65,54,119
8731aa475ffffff,2008-02-02,0,5,True,73,94,167
8731aa476ffffff,2008-02-02,0,5,True,63,45,108
8731aa484ffffff,2008-02-02,0,5,True,0,1,1
8731aa489ffffff,2008-02-02,0,5,True,3,1,4
8731aa48bffffff,2008-02-02,0,5,True,0,1,1
8731aa48cffffff,2008-02-02,0,5,True,0,2,2
8731aa48dffffff,2008-02-02,0,5,True,1,2,3
8731aa496ffffff,2008-02-02,0,5,True,0,1,1
8731aa4a2ffffff,2008-02-02,0,5,True,0,1,1
8731aa4a6ffffff,2008-02-02,0,5,True,1,0,1
8731aa4a8ffffff,2008-02-02,0,5,True,1,6,7
8731aa4a9ffffff,2008-02-02,0,5,True,2,1,3
8731aa4aaffffff,2008-02-02,0,5,True,2,2,4
8731aa4abffffff,2008-02-02,0,5,True,1,0,1
8731aa4acffffff,2008-02-02,0,5,True,1,2,3
8731aa4adffffff,2008-02-02,0,5,True,1,0,1
8731aa4aeffffff,2008-02-02,0,5,True,0,1,1
8731aa4b4ffffff,2008-02-02,0,5,True,1,0,1
8731aa4b5ffffff,2008-02-02,0,5,True,0,2,2
8731aa4b6ffffff,2008-02-02,0,5,True,1,0,1
8731aa4c1ffffff,2008-02-02,0,5,True,0,1,1
8731aa4c2ffffff,2008-02-02,0,5,True,0,1,1
8731aa4c6ffffff,2008-02-02,0,5,True,0,1,1
8731aa4c8ffffff,2008-02-02,0,5,True,0,3,3
8731aa4caffffff,2008-02-02,0,5,True,0,1,1
8731aa4cbffffff,2008-02-02,0,5,True,0,4,4
8731aa4ccffffff,2008-02-02,0,5,True,0,1,1
8731aa4d0ffffff,2008-02-02,0,5,True,5,11,16
8731aa4d1ffffff,2008-02-02,0,5,True,0,1,1
8731aa4d4ffffff,2008-02-02,0,5,True,10,10,20
8731aa4d5ffffff,2008-02-02,0,5,True,1,1,2
8731aa4d6ffffff,2008-02-02,0,5,True,2,9,11
8731aa4d8ffffff,2008-02-02,0,5,True,0,2,2
8731aa4d9ffffff,2008-02-02,0,5,True,0,1,1
8731aa4ddffffff,2008-02-02,0,5,True,1,1,2
8731aa4deffffff,2008-02-02,0,5,True,0,2,2
8731aa4e0ffffff,2008-02-02,0,5,True,9,8,17
8731aa4e1ffffff,2008-02-02,0,5,True,3,9,12
8731aa4e2ffffff,2008-02-02,0,5,True,2,1,3
8731aa4e3ffffff,2008-02-02,0,5,True,2,3,5
8731aa4e4ffffff,2008-02-02,0,5,True,6,7,13
8731aa4e6ffffff,2008-02-02,0,5,True,3,7,10
8731aa4e9ffffff,2008-02-02,0,5,True,3,1,4
8731aa4eaffffff,2008-02-02,0,5,True,2,3,5
8731aa4ebffffff,2008-02-02,0,5,True,0,3,3
8731aa4ecffffff,2008-02-02,0,5,True,8,6,14
8731aa4edffffff,2008-02-02,0,5,True,6,2,8
8731aa4eeffffff,2008-02-02,0,5,True,0,5,5
8731aa4f0ffffff,2008-02-02,0,5,True,0,3,3
8731aa4f1ffffff,2008-02-02,0,5,True,1,2,3
8731aa4f2ffffff,2008-02-02,0,5,True,4,5,9
8731aa4f3ffffff,2008-02-02,0,5,True,0,2,2
8731aa4f4ffffff,2008-02-02,0,5,True,4,5,9
8731aa4f5ffffff,2008-02-02,0,5,True,1,3,4
8731aa4f6ffffff,2008-02-02,0,5,True,2,4,6
8731aa500ffffff,2008-02-02,0,5,True,6,5,11
8731aa501ffffff,2008-02-02,0,5,True,9,6,15
8731aa502ffffff,2008-02-02,0,5,True,2,4,6
8731aa503ffffff,2008-02-02,0,5,True,10,15,25
8731aa504ffffff,2008-02-02,0,5,True,9,5,14
8731aa506ffffff,2008-02-02,0,5,True,0,2,2
8731aa508ffffff,2008-02-02,0,5,True,27,21,48
8731aa509ffffff,2008-02-02,0,5,True,36,28,64
8731aa50affffff,2008-02-02,0,5,True,37,47,84
8731aa50bffffff,2008-02-02,0,5,True,44,27,71
8731aa50cffffff,2008-02-02,0,5,True,25,23,48
8731aa50dffffff,2008-02-02,0,5,True,33,24,57
8731aa50effffff,2008-02-02,0,5,True,23,35,58
8731aa510ffffff,2008-02-02,0,5,True,2,2,4
8731aa511ffffff,2008-02-02,0,5,True,0,1,1
8731aa512ffffff,2008-02-02,0,5,True,1,2,3
8731aa513ffffff,2008-02-02,0,5,True,2,1,3
8731aa514ffffff,2008-02-02,0,5,True,0,1,1
8731aa515ffffff,2008-02-02,0,5,True,3,4,7
8731aa516ffffff,2008-02-02,0,5,True,0,1,1
8731aa518ffffff,2008-02-02,0,5,True,10,15,25
8731aa519ffffff,2008-02-02,0,5,True,59,28,87
8731aa51affffff,2008-02-02,0,5,True,21,25,46
8731aa51bffffff,2008-02-02,0,5,True,25,17,42
8731aa51cffffff,2008-02-02,0,5,True,17,10,27
8731aa51dffffff,2008-02-02,0,5,True,32,31,63
8731aa51effffff,2008-02-02,0,5,True,6,5,11
8731aa520ffffff,2008-02-02,0,5,True,1,2,3
8731aa521ffffff,2008-02-02,0,5,True,22,14,36
8731aa522ffffff,2008-02-02,0,5,True,6,3,9
8731aa523ffffff,2008-02-02,0,5,True,6,6,12
8731aa525ffffff,2008-02-02,0,5,True,4,2,6
8731aa526ffffff,2008-02-02,0,5,True,2,3,5
8731aa528ffffff,2008-02-02,0,5,True,9,8,17
8731aa529ffffff,2008-02-02,0,5,True,18,8,26
8731aa52affffff,2008-02-02,0,5,True,11,3,14
8731aa52bffffff,2008-02-02,0,5,True,23,7,30
8731aa52cffffff,2008-02-02,0,5,True,10,13,23
8731aa52dffffff,2008-02-02,0,5,True,1,4,5
8731aa52effffff,2008-02-02,0,5,True,21,15,36
8731aa531ffffff,2008-02-02,0,5,True,0,1,1
8731aa533ffffff,2008-02-02,0,5,True,1,0,1
8731aa540ffffff,2008-02-02,0,5,True,10,9,19
8731aa541ffffff,2008-02-02,0,5,True,33,33,66
8731aa542ffffff,2008-02-02,0,5,True,34,35,69
8731aa543ffffff,2008-02-02,0,5,True,21,12,33
8731aa544ffffff,2008-02-02,0,5,True,0,1,1
8731aa545ffffff,2008-02-02,0,5,True,20,17,37
8731aa546ffffff,2008-02-02,0,5,True,46,30,76
8731aa548ffffff,2008-02-02,0,5,True,19,24,43
8731aa549ffffff,2008-02-02,0,5,True,1,5,6
8731aa54affffff,2008-02-02,0,5,True,23,27,50
8731aa54bffffff,2008-02-02,0,5,True,6,9,15
8731aa54cffffff,2008-02-02,0,5,True,20,32,52
8731aa54dffffff,2008-02-02,0,5,True,0,5,5
8731aa54effffff,2008-02-02,0,5,True,33,33,66
8731aa550ffffff,2008-02-02,0,5,True,24,46,70
8731aa551ffffff,2008-02-02,0,5,True,70,43,113
8731aa552ffffff,2008-02-02,0,5,True,33,37,70
8731aa553ffffff,2008-02-02,0,5,True,38,38,76
8731aa554ffffff,2008-02-02,0,5,True,44,38,82
8731aa555ffffff,2008-02-02,0,5,True,49,44,93
8731aa556ffffff,2008-02-02,0,5,True,40,54,94
8731aa558ffffff,2008-02-02,0,5,True,64,50,114
8731aa559ffffff,2008-02-02,0,5,True,50,40,90
8731aa55affffff,2008-02-02,0,5,True,55,73,128
8731aa55bffffff,2008-02-02,0,5,True,60,75,135
8731aa55cffffff,2008-02-02,0,5,True,39,49,88
8731aa55dffffff,2008-02-02,0,5,True,45,58,103
8731aa55effffff,2008-02-02,0,5,True,58,66,124
8731aa560ffffff,2008-02-02,0,5,True,0,1,1
8731aa561ffffff,2008-02-02,0,5,True,0,10,10
8731aa562ffffff,2008-02-02,0,5,True,4,7,11
8731aa563ffffff,2008-02-02,0,5,True,4,8,12
8731aa564ffffff,2008-02-02,0,5,True,0,4,4
8731aa566ffffff,2008-02-02,0,5,True,21,10,31
8731aa568ffffff,2008-02-02,0,5,True,0,3,3
8731aa569ffffff,2008-02-02,0,5,True,3,7,10
8731aa56affffff,2008-02-02,0,5,True,6,13,19
8731aa56bffffff,2008-02-02,0,5,True,17,50,67
8731aa56cffffff,2008-02-02,0,5,True,0,2,2
8731aa56dffffff,2008-02-02,0,5,True,1,0,1
8731aa56effffff,2008-02-02,0,5,True,5,1,6
8731aa570ffffff,2008-02-02,0,5,True,2,2,4
8731aa571ffffff,2008-02-02,0,5,True,24,15,39
8731aa572ffffff,2008-02-02,0,5,True,35,28,63
8731aa573ffffff,2008-02-02,0,5,True,27,17,44
8731aa574ffffff,2008-02-02,0,5,True,0,2,2
8731aa575ffffff,2008-02-02,0,5,True,7,9,16
8731aa576ffffff,2008-02-02,0,5,True,17,12,29
8731aa584ffffff,2008-02-02,0,5,True,0,1,1
8731aa585ffffff,2008-02-02,0,5,True,1,2,3
8731aa588ffffff,2008-02-02,0,5,True,1,0,1
8731aa589ffffff,2008-02-02,0,5,True,5,6,11
8731aa58affffff,2008-02-02,0,5,True,3,2,5
8731aa58bffffff,2008-02-02,0,5,True,1,2,3
8731aa58cffffff,2008-02-02,0,5,True,1,2,3
8731aa58dffffff,2008-02-02,0,5,True,3,1,4
8731aa593ffffff,2008-02-02,0,5,True,0,1,1
8731aa594ffffff,2008-02-02,0,5,True,0,1,1
8731aa596ffffff,2008-02-02,0,5,True,0,2,2
8731aa599ffffff,2008-02-02,0,5,True,2,6,8
8731aa59affffff,2008-02-02,0,5,True,2,1,3
8731aa59bffffff,2008-02-02,0,5,True,2,4,6
8731aa59dffffff,2008-02-02,0,5,True,2,2,4
8731aa5a0ffffff,2008-02-02,0,5,True,4,7,11
8731aa5a1ffffff,2008-02-02,0,5,True,4,5,9
8731aa5a2ffffff,2008-02-02,0,5,True,1,1,2
8731aa5a3ffffff,2008-02-02,0,5,True,2,9,11
8731aa5a5ffffff,2008-02-02,0,5,True,3,2,5
8731aa5a6ffffff,2008-02-02,0,5,True,4,5,9
8731aa5a8ffffff,2008-02-02,0,5,True,11,7,18
8731aa5a9ffffff,2008-02-02,0,5,True,24,15,39
8731aa5aaffffff,2008-02-02,0,5,True,9,8,17
8731aa5abffffff,2008-02-02,0,5,True,8,6,14
8731aa5acffffff,2008-02-02,0,5,True,1,4,5
8731aa5adffffff,2008-02-02,0,5,True,9,10,19
8731aa5aeffffff,2008-02-02,0,5,True,8,8,16
8731aa5b0ffffff,2008-02-02,0,5,True,1,0,1
8731aa5b4ffffff,2008-02-02,0,5,True,0,1,1
8731aa60bffffff,2008-02-02,0,5,True,0,1,1
8731aa61cffffff,2008-02-02,0,5,True,1,0,1
8731aa625ffffff,2008-02-02,0,5,True,0,1,1
8731aa62dffffff,2008-02-02,0,5,True,0,1,1
8731aa631ffffff,2008-02-02,0,5,True,0,1,1
8731aa666ffffff,2008-02-02,0,5,True,1,1,2
8731aa674ffffff,2008-02-02,0,5,True,0,1,1
8731aa685ffffff,2008-02-02,0,5,True,0,1,1
8731aa6a2ffffff,2008-02-02,0,5,True,0,1,1
8731aa6a3ffffff,2008-02-02,0,5,True,1,0,1
8731aa6a6ffffff,2008-02-02,0,5,True,1,1,2
8731aa6a8ffffff,2008-02-02,0,5,True,0,2,2
8731aa6f4ffffff,2008-02-02,0,5,True,0,1,1
8731aa700ffffff,2008-02-02,0,5,True,1,1,2
8731aa701ffffff,2008-02-02,0,5,True,1,0,1
8731aa704ffffff,2008-02-02,0,5,True,1,10,11
8731aa705ffffff,2008-02-02,0,5,True,2,2,4
8731aa706ffffff,2008-02-02,0,5,True,0,1,1
8731aa708ffffff,2008-02-02,0,5,True,0,1,1
8731aa70dffffff,2008-02-02,0,5,True,1,0,1
8731aa711ffffff,2008-02-02,0,5,True,0,1,1
8731aa714ffffff,2008-02-02,0,5,True,1,0,1
8731aa715ffffff,2008-02-02,0,5,True,0,1,1
8731aa71affffff,2008-02-02,0,5,True,1,0,1
8731aa71dffffff,2008-02-02,0,5,True,0,1,1
8731aa720ffffff,2008-02-02,0,5,True,2,0,2
8731aa721ffffff,2008-02-02,0,5,True,1,2,3
8731aa722ffffff,2008-02-02,0,5,True,5,2,7
8731aa723ffffff,2008-02-02,0,5,True,1,4,5
8731aa724ffffff,2008-02-02,0,5,True,2,0,2
