spatial_unit,long_trip_ratio,airport_like_score,station_like_score,hub_penalty,is_transport_hub
8731aacdeffffff,0.9671,0.4352,0.3512,7.83,False
8731aa4e3ffffff,0.7911,0.356,0.294,6.41,False
8731aa0b6ffffff,0.9613,0.4326,0.361,7.79,False
8731aa445ffffff,0.9749,0.4387,0.3481,7.9,False
8731aa41effffff,1.0,0.45,0.3569,8.1,False
8731aa4b4ffffff,0.5058,0.2276,0.1973,4.1,False
8731aa568ffffff,1.0,0.45,0.3594,8.1,False
8731aa561ffffff,0.7903,0.3556,0.3066,6.4,False
8731aa11cffffff,0.823,0.3704,0.3031,6.67,False
8731aa4eeffffff,0.6103,0.2746,0.2386,4.94,False
873181b6cffffff,0.1896,0.0853,0.1063,1.91,False
8731aa720ffffff,0.9614,0.4326,0.343,7.79,False
8731aa780ffffff,0.6476,0.2914,0.2298,5.25,False
87318194affffff,0.4666,0.21,0.1959,3.78,False
8731aa786ffffff,0.7575,0.3409,0.2783,6.14,False
8731aa5acffffff,0.8877,0.3994,0.3198,7.19,False
8731aa564ffffff,0.8577,0.386,0.31,6.95,False
8731aa4cbffffff,0.4145,0.1865,0.1629,3.36,False
8731aa103ffffff,0.2534,0.114,0.1143,2.06,False
8731aa5a5ffffff,0.9536,0.4291,0.3413,7.72,False
87318525affffff,0.4153,0.1869,0.1821,3.36,False
8731aa525ffffff,1.0,0.45,0.3521,8.1,False
873185253ffffff,0.1993,0.0897,0.1212,2.18,False
8731aaccbffffff,1.0,0.45,0.365,8.1,False
8731aa784ffffff,0.7168,0.3226,0.2727,5.81,False
87318532affffff,0.0,0.0,0.15,2.7,False
8731aa59affffff,0.3471,0.1562,0.1493,2.81,False
873185adaffffff,0.0,0.0,0.15,2.7,False
8731aa4a8ffffff,1.0,0.45,0.3641,8.1,False
8731aa004ffffff,0.9349,0.4207,0.3429,7.57,False
8731aa721ffffff,0.5292,0.2382,0.2115,4.29,False
8731aa005ffffff,0.9237,0.4157,0.3489,7.48,False
8731aa513ffffff,1.0,0.45,0.3588,8.1,False
8731aa526ffffff,1.0,0.45,0.35,8.1,False
8731aa726ffffff,1.0,0.45,0.3575,8.1,False
8731aa4f6ffffff,0.7203,0.3242,0.2579,5.83,False
8731aa413ffffff,1.0,0.45,0.3606,8.1,False
8731aa41bffffff,0.8865,0.3989,0.3166,7.18,False
8731aa412ffffff,1.0,0.45,0.3525,8.1,False
8731aa700ffffff,0.5474,0.2463,0.2098,4.43,False
8731aa4f5ffffff,0.7877,0.3545,0.2963,6.38,False
873181860ffffff,0.085,0.0382,0.0363,0.69,False
8731aa7b4ffffff,1.0,0.45,0.35,8.1,False
87318525effffff,0.3813,0.1716,0.1592,3.09,False
8731aad88ffffff,0.9389,0.4225,0.3604,7.61,False
8731aa515ffffff,0.99,0.4455,0.3553,8.02,False
8731aa458ffffff,1.0,0.45,0.3632,8.1,False
8731aa4b6ffffff,0.7194,0.3237,0.2554,5.83,False
8731852edffffff,0.2674,0.1203,0.1416,2.55,False
87318185dffffff,0.362,0.1629,0.2017,3.63,False
8731aa156ffffff,0.1881,0.0846,0.1008,1.81,False
8731aac8cffffff,1.0,0.45,0.375,8.1,False
8731aa032ffffff,1.0,0.45,0.3647,8.1,False
8731aa45effffff,1.0,0.45,0.3587,8.1,False
8731aa095ffffff,0.6661,0.2998,0.2626,5.4,False
8731aa110ffffff,0.495,0.2227,0.2332,4.2,False
8731aa076ffffff,0.0,0.0,0.15,2.7,False
873181b21ffffff,0.7646,0.3441,0.2741,6.19,False
873181961ffffff,0.0325,0.0146,0.0864,1.55,False
8731aa18cffffff,1.0,0.45,0.3523,8.1,False
8731aa701ffffff,0.8145,0.3665,0.3001,6.6,False
8731aa888ffffff,0.3971,0.1787,0.1775,3.22,False
87318534cffffff,0.4386,0.1974,0.1964,3.55,False
8731aa0b1ffffff,0.7733,0.348,0.2951,6.26,False
873181966ffffff,0.001,0.0004,0.1128,2.03,False
8731aa730ffffff,0.7899,0.3555,0.3015,6.4,False
8731aa006ffffff,0.9373,0.4218,0.3443,7.59,False
87318525bffffff,0.656,0.2952,0.2367,5.31,False
873185258ffffff,0.5063,0.2279,0.1939,4.1,False
8731aacaaffffff,0.88,0.396,0.3203,7.13,False
8731aa45cffffff,0.9706,0.4368,0.354,7.86,False
8731aa510ffffff,1.0,0.45,0.3554,8.1,False
8731aacc1ffffff,1.0,0.45,0.3568,8.1,False
8731aabb5ffffff,0.6756,0.304,0.2615,5.47,False
8731aa1aaffffff,1.0,0.45,0.353,8.1,False
8731aa71cffffff,0.5168,0.2325,0.2213,4.19,False
8731aa494ffffff,0.2812,0.1265,0.1359,2.45,False
8731aa8e9ffffff,0.2132,0.0959,0.1007,1.81,False
8731aacd8ffffff,1.0,0.45,0.35,8.1,False
8731aa4d2ffffff,0.4804,0.2162,0.1775,3.89,False
8731aa58bffffff,0.8859,0.3986,0.3251,7.18,False
87318526dffffff,0.3286,0.1479,0.1579,2.84,False
8731aa4ebffffff,0.3739,0.1682,0.1534,3.03,False
8731aa09bffffff,1.0,0.45,0.3697,8.1,False
8731aa4d5ffffff,0.46,0.207,0.1824,3.73,False
8731aa4f1ffffff,0.5305,0.2387,0.2107,4.3,False
8731aa180ffffff,0.7529,0.3388,0.2723,6.1,False
8731aa091ffffff,1.0,0.45,0.353,8.1,False
8731aa09effffff,0.8127,0.3657,0.2938,6.58,False
8731aa4a9ffffff,0.9353,0.4209,0.3354,7.58,False
8731aa708ffffff,0.3806,0.1713,0.1741,3.13,False
87318194effffff,0.4564,0.2054,0.1802,3.7,False
8731aa441ffffff,1.0,0.45,0.3588,8.1,False
873185273ffffff,0.0,0.0,0.15,2.7,False
8731aa79bffffff,0.4294,0.1932,0.1912,3.48,False
8731aa171ffffff,0.1543,0.0694,0.1103,1.98,False
8731aa4e8ffffff,0.4676,0.2104,0.1748,3.79,False
8731aa72effffff,0.6604,0.2972,0.2597,5.35,False
8731aa532ffffff,1.0,0.45,0.3625,8.1,False
8731aa4f0ffffff,1.0,0.45,0.3571,8.1,False
8731aacceffffff,1.0,0.45,0.3534,8.1,False
873185348ffffff,0.0,0.0,0.0682,1.23,False
8731abd88ffffff,0.0,0.0,0.15,2.7,False
873181824ffffff,0.2647,0.1191,0.1446,2.6,False
8731aa4dbffffff,0.2353,0.1059,0.1285,2.31,False
8731aa035ffffff,0.3996,0.1798,0.1739,3.24,False
8731aa670ffffff,0.0136,0.0061,0.0798,1.44,False
8731aacdcffffff,0.7331,0.3299,0.2641,5.94,False
8731aa88affffff,0.4161,0.1872,0.1749,3.37,False
8731852ecffffff,0.421,0.1894,0.1773,3.41,False
8731aa4ccffffff,0.4442,0.1999,0.1729,3.6,False
87318196cffffff,0.1746,0.0786,0.0986,1.77,False
8731aa02effffff,0.2117,0.0953,0.1341,2.41,False
8731aa544ffffff,1.0,0.45,0.3529,8.1,False
8731aa560ffffff,1.0,0.45,0.3554,8.1,False
8731aa48dffffff,0.5495,0.2473,0.2014,4.45,False
8731aa4e2ffffff,0.8051,0.3623,0.2818,6.52,False
8731aa7b1ffffff,1.0,0.45,0.3534,8.1,False
873181973ffffff,1.0,0.45,0.4,8.1,False
8731aacccffffff,0.736,0.3312,0.2673,5.96,False
8731aa590ffffff,0.0,0.0,0.075,1.35,False
87318195bffffff,0.4604,0.2072,0.1742,3.73,False
87318195dffffff,0.6121,0.2754,0.2231,4.96,False
8731aa602ffffff,0.0126,0.0057,0.0794,1.43,False
8731aa5b2ffffff,0.7285,0.3278,0.255,5.9,False
873181964ffffff,0.4864,0.2189,0.2248,4.05,False
873181876ffffff,0.0,0.0,0.0545,0.98,False
87318194cffffff,0.9068,0.4081,0.3272,7.35,False
8731aa5a2ffffff,0.8444,0.38,0.308,6.84,False
8731aa449ffffff,1.0,0.45,0.3667,8.1,False
8731aa188ffffff,1.0,0.45,0.35,8.1,False
8731aaca9ffffff,0.0574,0.0258,0.063,1.13,False
8731aacdaffffff,0.9012,0.4055,0.3304,7.3,False
87318525cffffff,0.2642,0.1189,0.1316,2.37,False
8731aac8bffffff,1.0,0.45,0.3611,8.1,False
8731aa664ffffff,0.1388,0.0625,0.1168,2.1,False
8731aa7a1ffffff,0.6757,0.3041,0.2538,5.47,False
873181a43ffffff,0.0,0.0,0.0,0.0,False
873181b36ffffff,0.3245,0.146,0.1136,2.63,False
873181b5bffffff,0.6151,0.2768,0.2153,4.98,False
873181b6bffffff,1.0,0.45,0.35,8.1,False
873185274ffffff,1.0,0.45,0.35,8.1,False
87318566dffffff,1.0,0.45,0.35,8.1,False
873185605ffffff,1.0,0.45,0.35,8.1,False
8731ae288ffffff,0.3233,0.1455,0.1132,2.62,False
873181a85ffffff,1.0,0.45,0.35,8.1,False
873181c29ffffff,0.9865,0.4439,0.3453,7.99,False
873181b96ffffff,1.0,0.45,0.35,8.1,False
873181bb6ffffff,0.1649,0.0742,0.0577,1.34,False
8731aa0e0ffffff,0.7701,0.3466,0.2747,6.24,False
8731aa11affffff,0.8367,0.3765,0.3065,6.78,False
8731aacaeffffff,0.8147,0.3666,0.3076,6.6,False
8731aa531ffffff,1.0,0.45,0.353,8.1,False
8731aa6f6ffffff,0.8105,0.3647,0.3337,6.57,False
8731aa1adffffff,1.0,0.45,0.3554,8.1,False
873185375ffffff,0.0,0.0,0.15,2.7,False
8731aa16affffff,0.0,0.0,0.15,2.7,False
8731aa486ffffff,0.1439,0.0648,0.0932,1.68,False
8731aac9bffffff,0.9135,0.4111,0.3234,7.4,False
87318195cffffff,0.4986,0.2244,0.1907,4.04,False
8731aa100ffffff,0.8377,0.377,0.3193,6.79,False
8731aa516ffffff,1.0,0.45,0.3537,8.1,False
8731aa02affffff,1.0,0.45,0.3714,8.1,False
873181825ffffff,0.2772,0.1247,0.1292,2.32,False
8731aa732ffffff,0.5825,0.2621,0.2289,4.72,False
8731aa665ffffff,0.0,0.0,0.05,0.9,False
8731aa1abffffff,0.8567,0.3855,0.2998,6.94,False
8731aa79dffffff,0.7113,0.3201,0.249,5.76,False
8731aa194ffffff,1.0,0.45,0.35,8.1,False
8731aa0f0ffffff,0.0205,0.0092,0.0072,0.17,False
8731aa7a9ffffff,0.2181,0.0982,0.1263,2.27,False
8731aa459ffffff,0.8505,0.3827,0.2977,6.89,False
8731aa46affffff,0.9486,0.4269,0.352,7.68,False
8731aa0adffffff,0.8428,0.3792,0.3007,6.83,False
8731aa0e3ffffff,0.0,0.0,0.15,2.7,False
8731aa1a8ffffff,1.0,0.45,0.3547,8.1,False
8731aa781ffffff,0.3901,0.1755,0.1465,3.16,False
8731aa4aaffffff,1.0,0.45,0.3552,8.1,False
8731aa4e5ffffff,0.7666,0.345,0.2719,6.21,False
8731aaceaffffff,0.8673,0.3903,0.3336,7.03,False
8731aa4dcffffff,0.2689,0.121,0.1191,2.18,False
8731aa5b6ffffff,0.3104,0.1397,0.1433,2.58,False
8731aa10bffffff,0.2261,0.1017,0.1291,2.32,False
8731aa58cffffff,0.7409,0.3334,0.276,6.0,False
8731aa0a9ffffff,0.3859,0.1736,0.1896,3.41,False
873181b23ffffff,0.4082,0.1837,0.1429,3.31,False
8731aa4d1ffffff,0.3247,0.1461,0.1574,2.83,False
8731aa154ffffff,0.6993,0.3147,0.2624,5.66,False
873181949ffffff,0.0053,0.0024,0.0418,0.75,False
8731aa585ffffff,0.9917,0.4463,0.3471,8.03,False
8731aa4adffffff,0.9481,0.4266,0.3376,7.68,False
8731aa0c2ffffff,0.428,0.1926,0.1998,3.6,False
8731aa6a6ffffff,0.0,0.0,0.06,1.08,False
873181875ffffff,0.2356,0.106,0.1097,1.98,False
8731aa0a0ffffff,1.0,0.45,0.35,8.1,False
8731aa066ffffff,0.9613,0.4326,0.348,7.79,False
8731aaa9affffff,0.7344,0.3305,0.2758,5.95,False
873181958ffffff,0.1555,0.07,0.1044,1.88,False
8731aacc2ffffff,0.6261,0.2818,0.2391,5.07,False
8731aa0d8ffffff,1.0,0.45,0.3714,8.1,False
873185240ffffff,0.0,0.0,0.15,2.7,False
8731aa533ffffff,1.0,0.45,0.3705,8.1,False
873181800ffffff,0.1813,0.0816,0.1384,2.49,False
8731aa01bffffff,0.1415,0.0637,0.1328,2.39,False
8731aa4acffffff,1.0,0.45,0.36,8.1,False
873181951ffffff,0.5292,0.2381,0.2227,4.29,False
8731aa153ffffff,0.2134,0.096,0.1047,1.88,False
8731aa62bffffff,0.0586,0.0264,0.0848,1.53,False
873185251ffffff,0.3187,0.1434,0.1276,2.58,False
873181b66ffffff,0.0,0.0,0.0857,1.54,False
8731aa794ffffff,0.6377,0.2869,0.2408,5.16,False
873181864ffffff,0.4983,0.2242,0.1744,4.04,False
8731aa1b0ffffff,0.8131,0.3659,0.2846,6.59,False
873181863ffffff,0.0419,0.0189,0.0615,1.11,False
873181960ffffff,0.2926,0.1317,0.1881,3.39,False
8731aa0b0ffffff,0.7697,0.3464,0.2826,6.23,False
8731aa733ffffff,0.5057,0.2276,0.177,4.1,False
8731aa186ffffff,0.5983,0.2692,0.2375,4.85,False
8731aa4c1ffffff,0.4816,0.2167,0.1836,3.9,False
8731aa109ffffff,0.1739,0.0782,0.0881,1.59,False
8731aa520ffffff,1.0,0.45,0.356,8.1,False
8731aa020ffffff,0.0056,0.0025,0.0565,1.02,False
8731aa0d2ffffff,0.7026,0.3161,0.2519,5.69,False
8731aa7b0ffffff,0.9408,0.4234,0.3293,7.62,False
8731aa56dffffff,1.0,0.45,0.35,8.1,False
8731aa08affffff,0.8059,0.3626,0.3321,6.53,False
8731aa15bffffff,0.7085,0.3188,0.263,5.74,False
873181b28ffffff,0.0,0.0,0.075,1.35,False
8731aacd5ffffff,0.8841,0.3978,0.3094,7.16,False
8731aac59ffffff,0.0527,0.0237,0.0934,1.68,False
8731aa182ffffff,0.7161,0.3223,0.2737,5.8,False
8731aa711ffffff,0.5156,0.232,0.2391,4.3,False
8731aa524ffffff,1.0,0.45,0.35,8.1,False
8731aa511ffffff,0.7762,0.3493,0.2967,6.29,False
8731aa093ffffff,1.0,0.45,0.3562,8.1,False
873181840ffffff,0.5165,0.2324,0.2183,4.18,False
8731aa0dcffffff,0.0,0.0,0.075,1.35,False
8731aa736ffffff,0.6689,0.301,0.2641,5.42,False
8731aa32bffffff,0.2398,0.1079,0.1192,2.15,False
8731aa596ffffff,0.516,0.2322,0.1806,4.18,False
8731aacdbffffff,1.0,0.45,0.35,8.1,False
8731aace0ffffff,0.6079,0.2735,0.2128,4.92,False
